No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:03:00";"00:00:03:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:03:00";"00:00:03:00";"FABst¥¥¥¥ã¥ã¥¥¥¥¥§ª¦ªîªªªGö¤"
"3";"00:00:03:00";"00:00:04:05";"* Gong *"
"4";"00:00:04:19";"00:00:04:19";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:04:19";"00:00:04:19";"FABst: mit der tagesschau.ÿÿ'õþ"
"6";"00:00:04:19";"00:00:08:03";"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
"7";"00:00:08:09";"00:00:08:09";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:08:09";"00:00:08:09";"FABst6untertitelt (07.05.2023)ÿÿ+¼¨"
"9";"00:00:08:09";"00:00:13:01";"Diese Sendung wurde vom NDR

live untertitelt (07.05.2023)"
"10";"00:00:13:05";"00:00:13:05";"FABstd Heute im Studio:( ( Constanü"
"11";"00:00:13:05";"00:00:13:05";"FABst"tin Schreiber.ÿÿ?ÞN"
"12";"00:00:13:05";"00:00:16:14";"Heute im Studio:

Constantin Schreiber."
"13";"00:00:18:00";"00:00:18:00";"FABstd Guten Abend,( ( ich begrüße Si3¦"
"14";"00:00:18:00";"00:00:18:00";"FABst(e zur tagesschau.A¯R"
"15";"00:00:18:00";"00:00:21:10";"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
"16";"00:00:22:13";"00:00:22:13";"FABstd Sie gilt als ein Symbol für( ( marode IÓF"
"17";"00:00:22:13";"00:00:22:13";"FABst>nfrastruktur in Deutschland:ÿÿ#t"
"18";"00:00:22:13";"00:00:26:12";"Sie gilt als ein Symbol fÈur

marode Infrastruktur in Deutschland:"
"19";"00:00:26:14";"00:00:26:14";"FABstd Die Talbrücke Rahmede( ( in Noô<"
"20";"00:00:26:14";"00:00:26:14";"FABst*rdrhein-Westfalen.ÿÿ7È"
"21";"00:00:26:14";"00:00:29:18";"Die TalbrÈucke Rahmede

in Nordrhein-Westfalen."
"22";"00:00:29:20";"00:00:29:20";"FABstd Heute ist sie( ( erfolgreich r"
"23";"00:00:29:20";"00:00:29:20";"FABst(gesprengt worden.ÿÿ9n"
"24";"00:00:29:20";"00:00:32:14";"Heute ist sie

erfolgreich gesprengt worden."
"25";"00:00:32:17";"00:00:32:17";"FABstd Die Brücke an der A45,( ( einer zenÃ"
"26";"00:00:32:17";"00:00:32:17";"FABst2tralen Nord-Süd-Achse,ÿÿ/\"
"27";"00:00:32:17";"00:00:37:05";"Die BrÈucke an der A45,

einer zentralen Nord-SÈud-Achse,"
"28";"00:00:37:07";"00:00:37:07";"FABstd lag zwischen Lüdenscheid-Nord( ( µ"
"29";"00:00:37:07";"00:00:37:07";"FABst*und Lüdenscheid.ÿÿ7Nì"
"30";"00:00:37:07";"00:00:41:03";"lag zwischen LÈudenscheid-Nord

und LÈudenscheid."
"31";"00:00:42:03";"00:00:42:03";"FABstd Seit Dezember 2021( ( war sie+N"
"32";"00:00:42:03";"00:00:42:03";"FABst$ voll gesperrt.ÿÿ=Ó"
"33";"00:00:42:03";"00:00:44:21";"Seit Dezember 2021

war sie voll gesperrt."
"34";"00:00:44:23";"00:00:44:23";"FABstd Mit drastischen Auswirkungen( ( auf den +h"
"35";"00:00:44:23";"00:00:44:23";"FABst<Verkehr und die Wirtschaft.ÿÿ%Z"
"36";"00:00:44:23";"00:00:50:09";"Mit drastischen Auswirkungen

auf den Verkehr und die Wirtschaft."
"37";"00:00:51:11";"00:00:51:11";"FABstH Drei, zwo, eins, Zündung!ÿÿ"
"38";"00:00:51:11";"00:00:56:05";"Drei, zwo, eins, ZÈundung!"
"39";"00:00:56:22";"00:00:56:22";"FABst8 * Knall *ÿÿ%ø"
"40";"00:00:56:22";"00:00:59:09";"* Knall *"
"41";"00:01:00:01";"00:01:00:01";"FABstd Sekundenschnell war vorbei,( ( was jahþ"
"42";"00:01:00:01";"00:01:00:01";"FABstBrelange Vorbereitung brauchte.'ál"
"43";"00:01:00:01";"00:01:04:17";"Sekundenschnell war vorbei,

was jahrelange Vorbereitung brauchte."
"44";"00:01:05:00";"00:01:05:00";"FABstd17.000 Tonnen Beton und Stahl krachen( ("
"45";"00:01:05:00";"00:01:05:00";"FABstFaus 70 Metern Höhe in die Tiefe.#q¤"
"46";"00:01:05:00";"00:01:10:24";"17.000 Tonnen Beton und Stahl krachen

aus 70 Metern HÈohe in die Tiefe."
"47";"00:01:12:24";"00:01:12:24";"FABstD Jubel. Erleichterung.ÿÿ¾"
"48";"00:01:12:24";"00:01:14:21";"Jubel. Erleichterung."
"49";"00:01:15:00";"00:01:15:00";"FABstdBei Anwohnern, die sich die Sprengung( ( t"
"50";"00:01:15:00";"00:01:15:00";"FABstDnicht entgehen lassen wollten.ÿÿ¶"
