No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:00:02";"00:00:00:02";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:00:02";"00:00:00:02";"FABst(¥¥¥á¥¥à¥ã¥¥¥¥¥¥à¥¥¥ã¥à¥¥¥§ª¦ªîªªª5Ü"
"3";"00:00:00:02";"00:00:01:05";"* Gong *"
"4";"00:00:01:07";"00:00:01:07";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:01:07";"00:00:01:07";"FABst: mit den tagesthemen.ÿÿ'ºð"
"6";"00:00:01:07";"00:00:04:15";"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
"7";"00:00:04:17";"00:00:04:17";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:04:17";"00:00:04:17";"FABst6untertitelt (30.05.2023)ÿÿ+¸°"
"9";"00:00:04:17";"00:00:08:09";"Diese Sendung wurde vom NDR

live untertitelt (30.05.2023)"
"10";"00:00:08:11";"00:00:08:11";"FABstd Heute im Studio: Caren Miosga( ( un*Z"
"11";"00:00:08:11";"00:00:08:11";"FABst4d Constantin Schreiber.ÿÿ-Ô"
"12";"00:00:08:11";"00:00:11:15";"Heute im Studio: Caren Miosga

und Constantin Schreiber."
"13";"00:00:12:10";"00:00:12:10";"FABstd Schön, dass Sie dabei sind.( ( ×<i>"
"14";"00:00:12:10";"00:00:12:10";"FABst$ Guten Abend.ÿÿ=Û>"
"15";"00:00:12:10";"00:00:15:01";"SchÈon, dass Sie dabei sind.

Guten Abend."
"16";"00:00:15:13";"00:00:15:13";"FABstdWir beginnen mit dem Drohnenangriff( ( d´"
"17";"00:00:15:13";"00:00:15:13";"FABst< auf mehrere Wohnhäuser -ÿÿ%hì"
"18";"00:00:15:13";"00:00:19:23";"Wir beginnen mit dem Drohnenangriff

auf mehrere WohnhÈauser -"
"19";"00:00:20:00";"00:00:20:00";"FABstd in der Ukraine traurige( ( und faXz"
