No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:03:00";"00:00:03:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:03:00";"00:00:03:00";"FABst¥¥¥¥ã¥ã¥¥¥¥¥§ª¦ªîªªªGö¤"
"3";"00:00:03:00";"00:00:04:07";"* Gong *"
"4";"00:00:04:24";"00:00:04:24";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:04:24";"00:00:04:24";"FABst: mit der tagesschau.ÿÿ'õþ"
"6";"00:00:04:24";"00:00:08:11";"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
"7";"00:00:08:13";"00:00:08:13";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:08:13";"00:00:08:13";"FABst6untertitelt (18.06.2023)ÿÿ+±°"
"9";"00:00:08:13";"00:00:13:00";"Diese Sendung wurde vom NDR

live untertitelt (18.06.2023)"
"10";"00:00:15:14";"00:00:15:14";"FABstd Heute im Studio:( ( Constanü"
"11";"00:00:15:14";"00:00:15:14";"FABst"tin Schreiber.ÿÿ?ÞN"
"12";"00:00:15:14";"00:00:18:02";"Heute im Studio:

Constantin Schreiber."
"13";"00:00:18:09";"00:00:18:09";"FABstd Guten Abend,( ( ich begrüße Si3¦"
"14";"00:00:18:09";"00:00:18:09";"FABst(e zur tagesschau.A¯R"
"15";"00:00:18:09";"00:00:21:06";"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
"16";"00:00:22:02";"00:00:22:02";"FABstd Nach der ersten Bundestagslesung ( ( des HK>"
"17";"00:00:22:02";"00:00:22:02";"FABstBeizungsgesetzes gibt es KritikÿÿÍ´"
"18";"00:00:22:02";"00:00:27:04";"Nach der ersten Bundestagslesung

des Heizungsgesetzes gibt es Kritik"
"19";"00:00:27:06";"00:00:27:06";"FABstd an den geplanten( ( unterschiedlic0"
"20";"00:00:27:06";"00:00:27:06";"FABst0hen Übergangsfristen.ÿÿ1%`"
"21";"00:00:27:06";"00:00:30:19";"an den geplanten

unterschiedlichen ÈUbergangsfristen."
"22";"00:00:31:05";"00:00:31:05";"FABstd So sehen sich größere Städte( ( in Badenô¼"
"23";"00:00:31:05";"00:00:31:05";"FABst<-Württemberg benachteiligt.ÿÿ%y|"
"24";"00:00:31:05";"00:00:35:04";"So sehen sich grÈoûere StÈadte

in Baden-WÈurttemberg benachteiligt."
"25";"00:00:35:06";"00:00:35:06";"FABstd Für sie würden( ( die strengNJ"
"26";"00:00:35:06";"00:00:35:06";"FABst$en Bestimmungenÿÿ=á¸"
"27";"00:00:35:06";"00:00:37:18";"FÈur sie wÈurden

die strengen Bestimmungen"
"28";"00:00:37:20";"00:00:37:20";"FABstd zum Heizungsumbau( ( schon ab 1.E¨"
"29";"00:00:37:20";"00:00:37:20";"FABst. Januar 2024 gelten.ÿÿ3È"
"30";"00:00:37:20";"00:00:41:03";"zum Heizungsumbau

schon ab 1. Januar 2024 gelten."
"31";"00:00:41:11";"00:00:41:11";"FABstd Hintergrund ist, ( ( dass^"
"32";"00:00:41:11";"00:00:41:11";"FABst im SüdwestenÿÿA]<u>"
"33";"00:00:41:11";"00:00:43:17";"Hintergrund ist,

dass im SÈudwesten"
"34";"00:00:43:19";"00:00:43:19";"FABstd die kommunale Wärmeplanung( ( zu"
"35";"00:00:43:19";"00:00:43:19";"FABst( diesem Zeitpunktÿÿ9¹x"
"36";"00:00:43:19";"00:00:46:19";"die kommunale WÈarmeplanung

zu diesem Zeitpunkt"
"37";"00:00:46:20";"00:00:46:20";"FABstF abgeschlossen sein muss.ÿÿÏÎ"
"38";"00:00:46:20";"00:00:48:11";"abgeschlossen sein muss."
"39";"00:00:48:15";"00:00:48:15";"FABstd Sie ist maßgeblich ( ( für d9ì"
"40";"00:00:48:15";"00:00:48:15";"FABst&ie Verpflichtungÿÿ;¼"
"41";"00:00:48:15";"00:00:51:04";"Sie ist maûgeblich

fÈur die Verpflichtung"
"42";"00:00:51:06";"00:00:51:06";"FABstd zum Einbau( ( klimafreundlicDê"
"43";"00:00:51:06";"00:00:51:06";"FABst"her Heizungen.ÿÿ?ÈZ"
"44";"00:00:51:06";"00:00:53:16";"zum Einbau

klimafreundlicher Heizungen."
"45";"00:00:53:18";"00:00:53:18";"FABstd In anderen Bundesländern( ( haben K"
"46";"00:00:53:18";"00:00:53:18";"FABst2ommunen bis 2028 Zeit.ÿÿ/ÓF"
"47";"00:00:53:18";"00:00:58:02";"In anderen BundeslÈandern

haben Kommunen bis 2028 Zeit."
"48";"00:01:00:02";"00:01:00:02";"FABstd Mit diesem Solarpark( ( werden im th9"
"49";"00:01:00:02";"00:01:00:02";"FABst2üringischen Mühlhausen7t"
"50";"00:01:00:02";"00:01:03:12";"Mit diesem Solarpark

werden im thÈuringischen MÈuhlhausen"
"51";"00:01:03:14";"00:01:03:14";"FABstd rund 400 Haushalte( ( per Fernwärmeöò"
