No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:03:00";"00:00:03:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:03:00";"00:00:03:00";"FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ"
"3";"00:00:03:00";"00:00:04:05";"* Gong *"
"4";"00:00:04:10";"00:00:04:10";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:04:10";"00:00:04:10";"FABst: mit der tagesschau.ÿÿ'õþ"
"6";"00:00:04:10";"00:00:08:06";"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
"7";"00:00:08:10";"00:00:08:10";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:08:10";"00:00:08:10";"FABst6untertitelt (11.06.2023)ÿÿ+¸°"
"9";"00:00:08:10";"00:00:12:15";"Diese Sendung wurde vom NDR

live untertitelt (11.06.2023)"
"10";"00:00:14:22";"00:00:14:22";"FABstd Heute im Studio:( ( Constanü"
"11";"00:00:14:22";"00:00:14:22";"FABst"tin Schreiber.ÿÿ?ÞN"
"12";"00:00:14:22";"00:00:17:15";"Heute im Studio:

Constantin Schreiber."
"13";"00:00:18:11";"00:00:18:11";"FABstd Guten Abend,( ( ich begrüße Si3¦"
"14";"00:00:18:11";"00:00:18:11";"FABst(e zur tagesschau.A¯R"
"15";"00:00:18:11";"00:00:21:14";"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
"16";"00:00:22:08";"00:00:22:08";"FABstd Die EU will mit Tunesien( ( effekt#<i>"
"17";"00:00:22:08";"00:00:22:08";"FABst.iver gegen Schlepperÿÿ3Ð"
"18";"00:00:22:08";"00:00:25:13";"Die EU will mit Tunesien

effektiver gegen Schlepper"
"19";"00:00:25:19";"00:00:25:19";"FABstd und illegale Überfahrten( ( übers ]¨"
"20";"00:00:25:19";"00:00:25:19";"FABst.Mittelmeer vorgehen.ÿÿ3Æ"
"21";"00:00:25:19";"00:00:29:09";"und illegale ÈUberfahrten

Èubers Mittelmeer vorgehen."
"22";"00:00:29:14";"00:00:29:14";"FABstdDafür stellte Kommissionspräsidentin( ( 7x"
"23";"00:00:29:14";"00:00:29:14";"FABst: von der Leyen dem Landÿÿ'äÊ"
"24";"00:00:29:14";"00:00:33:13";"DafÈur stellte KommissionsprÈasidentin

von der Leyen dem Land"
"25";"00:00:33:17";"00:00:33:17";"FABstL neue Hilfsgelder in Aussicht.ÿÿäÞ"
"26";"00:00:33:17";"00:00:35:19";"neue Hilfsgelder in Aussicht."
"27";"00:00:35:23";"00:00:35:23";"FABstd Zudem weitere Millionen( ( für die StÃ<"
"28";"00:00:35:23";"00:00:35:23";"FABst2ärkung der Wirtschaft.ÿÿ/Z"
"29";"00:00:35:23";"00:00:39:10";"Zudem weitere Millionen

fÈur die StÈarkung der Wirtschaft."
