No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:03:00";"00:00:03:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:03:00";"00:00:03:00";"FABst¥¥¥æ¥¥ã¥¥¥ç¥¥§ª¦ªîªªªG¦"
"3";"00:00:03:00";"00:00:04:03";"* Gong *"
"4";"00:00:04:08";"00:00:04:08";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:04:08";"00:00:04:08";"FABst: mit der tagesschau.ÿÿ'õþ"
"6";"00:00:04:08";"00:00:07:14";"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
"7";"00:00:07:18";"00:00:07:18";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:07:18";"00:00:07:18";"FABst6untertitelt (15.05.2023)ÿÿ+¿¦"
"9";"00:00:07:18";"00:00:13:07";"Diese Sendung wurde vom NDR

live untertitelt (15.05.2023)"
"10";"00:00:13:12";"00:00:13:12";"FABstTHeute im Studio: Julia-Niharika Sen.ÿÿÄú"
"11";"00:00:13:12";"00:00:16:19";"Heute im Studio: Julia-Niharika Sen."
"12";"00:00:18:14";"00:00:18:14";"FABstd Guten Abend,( ( ich begrüße Si3¦"
"13";"00:00:18:14";"00:00:18:14";"FABst(e zur tagesschau.A¯R"
"14";"00:00:18:14";"00:00:21:17";"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
"15";"00:00:22:10";"00:00:22:10";"FABstP In der Türkei wird zum ersten MalÿÿFP"
"16";"00:00:22:10";"00:00:24:11";"In der TÈurkei wird zum ersten Mal"
"17";"00:00:24:13";"00:00:24:13";"FABstd in einer Stichwahl( ( über den Prä58"
"18";"00:00:24:13";"00:00:24:13";"FABst0sidenten entschieden.ÿÿ1p"
"19";"00:00:24:13";"00:00:27:20";"in einer Stichwahl

Èuber den PrÈasidenten entschieden."
"20";"00:00:27:22";"00:00:27:22";"FABstd Bei der Abstimmung gestern( ( holte ErdFØ"
"21";"00:00:27:22";"00:00:27:22";"FABst8ogan die meisten Stimmen,ÿÿ)·º"
"22";"00:00:27:22";"00:00:32:05";"Bei der Abstimmung gestern

holte Erdogan die meisten Stimmen,"
"23";"00:00:32:07";"00:00:32:07";"FABstd verfehlte wie Herausforderer( ( Kilicdar&ú"
"24";"00:00:32:07";"00:00:32:07";"FABst<oglu die absolute Mehrheit.ÿÿ%¶"
"25";"00:00:32:07";"00:00:37:09";"verfehlte wie Herausforderer

Kilicdaroglu die absolute Mehrheit."
"26";"00:00:37:13";"00:00:37:13";"FABstd In zwei Wochen( ( ist die ents)N"
"27";"00:00:37:13";"00:00:37:13";"FABst&cheidende Runde.ÿÿ;ßÔ"
"28";"00:00:37:13";"00:00:40:07";"In zwei Wochen

ist die entscheidende Runde."
"29";"00:00:40:09";"00:00:40:09";"FABstD Die Wahl in der Türkeiÿÿ|"
"30";"00:00:40:09";"00:00:41:20";"Die Wahl in der TÈurkei"
"31";"00:00:41:22";"00:00:41:22";"FABstd gilt als eine der weltweit ( ( wich7è"
"32";"00:00:41:22";"00:00:41:22";"FABst4tigsten in diesem Jahr.ÿÿ-©b"
"33";"00:00:41:22";"00:00:45:03";"gilt als eine der weltweit

wichtigsten in diesem Jahr."
"34";"00:00:45:05";"00:00:45:05";"FABstd Sie ist richtungsweisend ( ( für d"
"35";"00:00:45:05";"00:00:45:05";"FABst2ie Zukunft des Landes.ÿÿ/üj"
"36";"00:00:45:05";"00:00:48:23";"Sie ist richtungsweisend

fÈur die Zukunft des Landes."
"37";"00:00:49:00";"00:00:49:00";"FABstN Stichwahl nach einem Wahlkrimi.Ö"
"38";"00:00:49:00";"00:00:50:23";"Stichwahl nach einem Wahlkrimi."
"39";"00:00:51:00";"00:00:51:00";"FABstd Am Nachmittag verkündigt( ( der Cheü"
"40";"00:00:51:00";"00:00:51:00";"FABst0f der Wahlkommission,9ÿô"
"41";"00:00:51:00";"00:00:54:05";"Am Nachmittag verkÈundigt

der Chef der Wahlkommission,"
"42";"00:00:54:07";"00:00:54:07";"FABstd dass für keinen( ( der beiden º2"
"43";"00:00:54:07";"00:00:54:07";"FABst*Kandidaten reicht.ÿÿ7ÌH"
