No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:18:00";"00:00:18:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:18:00";"00:00:18:00";"FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ"
"3";"00:00:18:00";"00:00:19:07";"* Gong *"
"4";"00:00:19:09";"00:00:19:09";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:19:09";"00:00:19:09";"FABst: mit den tagesthemen.ÿÿ'ºð"
"6";"00:00:19:09";"00:00:22:18";"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
"7";"00:00:22:20";"00:00:22:20";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:22:20";"00:00:22:20";"FABst6untertitelt (19.04.2023)ÿÿ+²°"
"9";"00:00:22:20";"00:00:26:09";"Diese Sendung wurde vom NDR

live untertitelt (19.04.2023)"
"10";"00:00:26:11";"00:00:26:11";"FABstd Heute im Studio: Aline Abboud( ( uqt"
"11";"00:00:26:11";"00:00:26:11";"FABst0nd Thorsten Schröder.ÿÿ1J"
"12";"00:00:26:11";"00:00:29:10";"Heute im Studio: Aline Abboud

und Thorsten SchrÈoder."
"13";"00:00:29:12";"00:00:29:12";"FABstd Guten Abend.( ( Willkommen zu Ê"
"14";"00:00:29:12";"00:00:29:12";"FABst&den tagesthemen.ÿÿ;ê"
"15";"00:00:29:12";"00:00:31:24";"Guten Abend.

Willkommen zu den tagesthemen."
"16";"00:00:32:01";"00:00:32:01";"FABstJ Schön, dass Sie dabei sind.ÿÿ"
"17";"00:00:32:01";"00:00:33:15";"SchÈon, dass Sie dabei sind."
"18";"00:00:33:17";"00:00:33:17";"FABst: Guten Abend.ÿÿ#Ôv"
"19";"00:00:33:17";"00:00:34:19";"Guten Abend."
"20";"00:00:34:21";"00:00:34:21";"FABstN Es gibt eigentlich keine Worte,ÿÿ¥ò"
"21";"00:00:34:21";"00:00:36:17";"Es gibt eigentlich keine Worte,"
"22";"00:00:36:20";"00:00:36:20";"FABstd die man angesichts( ( dieser VerB "
"23";"00:00:36:20";"00:00:36:20";"FABst,brechen sagen kann.ÿÿ5Û"
"24";"00:00:36:20";"00:00:39:14";"die man angesichts

dieser Verbrechen sagen kann."
"25";"00:00:40:08";"00:00:40:08";"FABstd Aus deutscher Sicht kann man( ( am eh9Þ"
"26";"00:00:40:08";"00:00:40:08";"FABstDesten noch um Vergebung bitten.ÿÿ¼"
"27";"00:00:40:08";"00:00:44:04";"Aus deutscher Sicht kann man

am ehesten noch um Vergebung bitten."
"28";"00:00:44:06";"00:00:44:06";"FABstd So tat es der Bundespräsident( ( èB"
"29";"00:00:44:06";"00:00:44:06";"FABst,heute in Warschauÿÿ5²º"
"30";"00:00:44:06";"00:00:46:23";"So tat es der BundesprÈasident

heute in Warschau"
"31";"00:00:47:00";"00:00:47:00";"FABstd zum 80. Jahrestag( ( des Aufstan"d"
"32";"00:00:47:00";"00:00:47:00";"FABst8des im Warschauer Ghetto.ÿÿ)è"
"33";"00:00:47:00";"00:00:50:13";"zum 80. Jahrestag

des Aufstandes im Warschauer Ghetto."
"34";"00:00:50:15";"00:00:50:15";"FABstd Dieses wird von den deutschen( ( Bes ä"
"35";"00:00:50:15";"00:00:50:15";"FABst6atzern im November 1940 ÿÿ+ÄÎ"
"36";"00:00:50:15";"00:00:54:13";"Dieses wird von den deutschen

Besatzern im November 1940"
"37";"00:00:54:15";"00:00:54:15";"FABstL durch eine Mauer abgeriegelt.ÿÿúâ"
"38";"00:00:54:15";"00:00:56:17";"durch eine Mauer abgeriegelt."
"39";"00:00:57:06";"00:00:57:06";"FABstdMehr als eine halbe Million Menschen( ( Hü"
"40";"00:00:57:06";"00:00:57:06";"FABst> leben auf engstem Raum.ÿÿ#®"
"41";"00:00:57:06";"00:01:01:02";"Mehr als eine halbe Million Menschen

leben auf engstem Raum."
"42";"00:01:01:03";"00:01:01:03";"FABstD Zwischen 1940 und 1942ÿÿäH"
"43";"00:01:01:03";"00:01:03:04";"Zwischen 1940 und 1942"
"44";"00:01:03:06";"00:01:03:06";"FABstd sterben Hunderttausende ( ( an HunnÌ"
"45";"00:01:03:06";"00:01:03:06";"FABst.ger und Krankheiten.ÿÿ3"
"46";"00:01:03:06";"00:01:06:13";"sterben Hunderttausende

an Hunger und Krankheiten."
"47";"00:01:07:03";"00:01:07:03";"FABstd Das ist fast ein Viertel( ( der jüd«\"
"48";"00:01:07:03";"00:01:07:03";"FABst@ischen Bevölkerung Warschaus.ÿÿ!(R"
"49";"00:01:07:03";"00:01:10:22";"Das ist fast ein Viertel

der jÈudischen BevÈolkerung Warschaus."
"50";"00:01:11:09";"00:01:11:09";"FABstdIm Juli 1942 beginnen die Nazis,( ( Mens(Z"
"51";"00:01:11:09";"00:01:11:09";"FABst:chen ins Vernichtungslagerÿÿ'ÏÂ"
"52";"00:01:11:09";"00:01:15:21";"Im Juli 1942 beginnen die Nazis,

Menschen ins Vernichtungslager"
"53";"00:01:15:23";"00:01:15:23";"FABstd nach Treblinka zu deportieren( ( l"
"54";"00:01:15:23";"00:01:15:23";"FABst0und dort zu ermorden.ÿÿ1¾"
"55";"00:01:15:23";"00:01:19:13";"nach Treblinka zu deportieren

und dort zu ermorden."
"56";"00:01:20:12";"00:01:20:12";"FABstdAls SS-Truppen am 19. April 1943( ( inMb"
"57";"00:01:20:12";"00:01:20:12";"FABst6s Ghetto einmarschieren,ÿÿ+Ö"
"58";"00:01:20:12";"00:01:24:16";"Als SS-Truppen am 19. April 1943

ins Ghetto einmarschieren,"
"59";"00:01:24:18";"00:01:24:18";"FABstd wagen Jüdinnen und Juden( ( ä "
"60";"00:01:24:18";"00:01:24:18";"FABst den Aufstand.ÿÿAÓ°"
"61";"00:01:24:18";"00:01:27:11";"wagen JÈudinnen und Juden

den Aufstand."
"62";"00:01:29:14";"00:01:29:14";"FABstRVier Wochen dauert der Widerstand.ÿÿÒØ"
"63";"00:01:29:14";"00:01:32:01";"Vier Wochen dauert der Widerstand."
"64";"00:01:32:03";"00:01:32:03";"FABstd Es war dieser Geist( ( des Sich-niT"
"65";"00:01:32:03";"00:01:32:03";"FABst,cht-beugen-Wollens,ÿÿ5ùÚ"
"66";"00:01:32:03";"00:01:35:02";"Es war dieser Geist

des Sich-nicht-beugen-Wollens,"
"67";"00:01:35:04";"00:01:35:04";"FABstB der allen Kraft gab.ÿÿä"
"68";"00:01:35:04";"00:01:36:18";"der allen Kraft gab."
"69";"00:01:36:19";"00:01:36:19";"FABstd Kristin Joachim hat ( ( eine l¨"
"70";"00:01:36:19";"00:01:36:19";"FABst$Frau begleitet,ÿÿ=½."
"71";"00:01:36:19";"00:01:39:04";"Kristin Joachim hat

eine Frau begleitet,"
"72";"00:01:39:06";"00:01:39:06";"FABstTdie das Grauen damals überlebt hat.ÿÿbº"
"73";"00:01:39:06";"00:01:41:16";"die das Grauen damals Èuberlebt hat."
"74";"00:01:43:12";"00:01:43:12";"FABstd Krystina Budnicka( ( kann ex`"
"75";"00:01:43:12";"00:01:43:12";"FABst$s kaum glauben:E´ô"
"76";"00:01:43:12";"00:01:45:23";"Krystina Budnicka

kann es kaum glauben:"
"77";"00:01:46:00";"00:01:46:00";"FABstL Sie steht in einer Ausstellung²8"
"78";"00:01:46:00";"00:01:47:22";"Sie steht in einer Ausstellung"
"79";"00:01:47:24";"00:01:47:24";"FABstd vor einem Foto von sich( ( aÄ"
"80";"00:01:47:24";"00:01:47:24";"FABst&ls Zwölfjährige.ÿÿ;Ï¦"
"81";"00:01:47:24";"00:01:50:14";"vor einem Foto von sich

als ZwÈolfjÈahrige."
"82";"00:01:50:16";"00:01:50:16";"FABstd Das Bild wurde aufgenommen,( ( nachdem2"
"83";"00:01:50:16";"00:01:50:16";"FABst: sie die Hölle erlebt hat:ÿÿ'Sî"
"84";"00:01:50:16";"00:01:54:11";"Das Bild wurde aufgenommen,

nachdem sie die HÈolle erlebt hat:"
"85";"00:01:54:13";"00:01:54:13";"FABst PDen Aufstand im Warschauer Ghetto.ÿÿÙÜ"
"86";"00:01:54:13";"00:01:56:15";"Den Aufstand im Warschauer Ghetto."
"87";"00:01:56:16";"00:01:56:16";"FABst!d Bei dem verlor sie ( ( ihre mà"
"88";"00:01:56:16";"00:01:56:16";"FABst&gesamte Familie.ÿÿ;ÑÜ"
"89";"00:01:56:16";"00:01:59:05";"Bei dem verlor sie

ihre gesamte Familie."
"90";"00:02:01:21";"00:02:01:21";"FABst"F Ich bin sehr überrascht,9"
"91";"00:02:01:21";"00:02:03:19";"Ich bin sehr Èuberrascht,"
"92";"00:02:03:21";"00:02:03:21";"FABst#d ich sehe aus( ( wie ein sorgö"
"93";"00:02:03:21";"00:02:03:21";"FABst"enfreies Kind.G¾"
"94";"00:02:03:21";"00:02:06:13";"ich sehe aus

wie ein sorgenfreies Kind."
"95";"00:02:06:15";"00:02:06:15";"FABst$NMit lachenden Augen - glücklich.ÿÿò"
"96";"00:02:06:15";"00:02:08:17";"Mit lachenden Augen - glÈucklich."
"97";"00:02:08:19";"00:02:08:19";"FABst%dAber es gab damals nichts zu lachen,( ( g"
"98";"00:02:08:19";"00:02:08:19";"FABst< Fotos können trügen.ÿÿ%»Ì"
"99";"00:02:08:19";"00:02:12:10";"Aber es gab damals nichts zu lachen,

Fotos kÈonnen trÈugen."
"100";"00:02:15:17";"00:02:15:17";"FABst&: Es ist 1940,ÿÿ#<u>"
"101";"00:02:15:17";"00:02:17:07";"Es ist 1940,"
"102";"00:02:17:09";"00:02:17:09";"FABst'd Warschau ist( ( unter deutsc>î"
"103";"00:02:17:09";"00:02:17:09";"FABst"her Besatzung.ÿÿ?ÆV"
"104";"00:02:17:09";"00:02:19:18";"Warschau ist

unter deutscher Besatzung."
"105";"00:02:19:20";"00:02:19:20";"FABst(N Über eine halbe Million Menschenÿÿp"
"106";"00:02:19:20";"00:02:21:21";"ÈUber eine halbe Million Menschen"
"107";"00:02:21:23";"00:02:21:23";"FABst)d sperren die Nationalsozialisten( ( b¦"
"108";"00:02:21:23";"00:02:21:23";"FABst* in das Ghetto.ÿÿ7"
"109";"00:02:21:23";"00:02:24:16";"sperren die Nationalsozialisten

in das Ghetto."
"110";"00:02:24:18";"00:02:24:18";"FABst*d Durch eine Mauer getrennt( ( v_À"
"111";"00:02:24:18";"00:02:24:18";"FABst*om Rest der Stadt.ÿÿ7é¨"
"112";"00:02:24:18";"00:02:27:13";"Durch eine Mauer getrennt

vom Rest der Stadt."
"113";"00:02:27:15";"00:02:27:15";"FABst+d Auch Krystyna und ihre Familie( ( si"¢"
"114";"00:02:27:15";"00:02:27:15";"FABst0nd hier eingepfercht.ÿÿ1À"
"115";"00:02:27:15";"00:02:30:21";"Auch Krystyna und ihre Familie

sind hier eingepfercht."
"116";"00:02:30:23";"00:02:30:23";"FABst,dSie leiden unter Hunger, Krankheiten( ( z>"
"117";"00:02:30:23";"00:02:30:23";"FABst<und willkürlicher Gewalt.ÿÿ%k@"
"118";"00:02:30:23";"00:02:34:13";"Sie leiden unter Hunger, Krankheiten

und willkÈurlicher Gewalt."
"119";"00:02:34:15";"00:02:34:15";"FABst-D Die Deutschen beginnenÿÿ¾"
"120";"00:02:34:15";"00:02:36:00";"Die Deutschen beginnen"
"121";"00:02:36:02";"00:02:36:02";"FABst.d mit den Deportationen( ( ins VernichQ"
"122";"00:02:36:02";"00:02:36:02";"FABst0tungslager Treblinka.ÿÿ1¤d"
"123";"00:02:36:02";"00:02:39:04";"mit den Deportationen

ins Vernichtungslager Treblinka."
"124";"00:02:39:06";"00:02:39:06";"FABst/d Da versteckt sich ihre Familie ( ( in ei0"
"125";"00:02:39:06";"00:02:39:06";"FABst>nem Bunker unter dem Ghetto.ÿÿ#¬0"
"126";"00:02:39:06";"00:02:43:00";"Da versteckt sich ihre Familie

in einem Bunker unter dem Ghetto."
"127";"00:02:43:02";"00:02:43:02";"FABst0d Hier erlebt Krystyna( ( den Aufstan=v"
"128";"00:02:43:02";"00:02:43:02";"FABst2d gegen die Deutschen.ÿÿ/Ï°"
"129";"00:02:43:02";"00:02:46:04";"Hier erlebt Krystyna

den Aufstand gegen die Deutschen."
"130";"00:02:46:06";"00:02:46:06";"FABst1d Ihre Brüder kämpfen oben( ( mit den we["
"131";"00:02:46:06";"00:02:46:06";"FABst8nigen vorhandenen Waffen.ÿÿ)ìL"
"132";"00:02:46:06";"00:02:49:18";"Ihre BrÈuder kÈampfen oben

mit den wenigen vorhandenen Waffen."
"133";"00:02:51:02";"00:02:51:02";"FABst2d Ich konnte die Flammen( ( überall"
"134";"00:02:51:02";"00:02:51:02";"FABst0um mich herum spüren.ÿÿ1Ä"
"135";"00:02:51:02";"00:02:54:02";"Ich konnte die Flammen

Èuberall um mich herum spÈuren."
"136";"00:02:54:04";"00:02:54:04";"FABst3F Diese Hitze, die da war.ÿÿ6"
"137";"00:02:54:04";"00:02:56:01";"Diese Hitze, die da war."
"138";"00:02:56:03";"00:02:56:03";"FABst4d Der Bunker( ( war von Erdschm"
"139";"00:02:56:03";"00:02:56:03";"FABst"ichten umgebenÿÿ?¾"
"140";"00:02:56:03";"00:02:59:00";"Der Bunker

war von Erdschichten umgeben"
"141";"00:02:59:17";"00:02:59:17";"FABst5d und die Erde heizte sich auf,( ( alnP"
"142";"00:02:59:17";"00:02:59:17";"FABst2les rundherum brannte.ÿÿ/®("
"143";"00:02:59:17";"00:03:03:09";"und die Erde heizte sich auf,

alles rundherum brannte."
"144";"00:03:03:11";"00:03:03:11";"FABst6H Und ich konnte es spüren.ÿÿF"
"145";"00:03:03:11";"00:03:05:07";"Und ich konnte es spÈuren."
"146";"00:03:07:06";"00:03:07:06";"FABst7d Gegen die Übermacht der Deutschen( ( ü"
"147";"00:03:07:06";"00:03:07:06";"FABst4gibt es keine Chance.ÿÿ-º@"
"148";"00:03:07:06";"00:03:10:20";"Gegen die ÈUbermacht der Deutschen

gibt es keine Chance."
"149";"00:03:10:24";"00:03:10:24";"FABst8d Sie machen das Ghetto( ( dem C"
"150";"00:03:10:24";"00:03:10:24";"FABst(Erdboden gleich. ÿÿ9ïÊ"
"151";"00:03:10:24";"00:03:13:23";"Sie machen das Ghetto

dem Erdboden gleich."
"152";"00:03:14:12";"00:03:14:12";"FABst9d Krystynas Brüder sterben,( ( der Õì"
"153";"00:03:14:12";"00:03:14:12";"FABst0Bunker wird entdeckt.ÿÿ1íd"
"154";"00:03:14:12";"00:03:17:20";"Krystynas BrÈuder sterben,

der Bunker wird entdeckt."
"155";"00:03:18:14";"00:03:18:14";"FABst:d Sie müssen fliehen,( ( doch ihre EÒ6"
"156";"00:03:18:14";"00:03:18:14";"FABst2ltern sind zu schwach.ÿÿ/å6"
"157";"00:03:18:14";"00:03:22:01";"Sie mÈussen fliehen,

doch ihre Eltern sind zu schwach."
"158";"00:03:24:05";"00:03:24:05";"FABst;dIch halte die Hand meiner Mutter( ( fÖ"
"159";"00:03:24:05";"00:03:24:05";"FABst, krampfhaft fest.ÿÿ5ÆÒ"
"160";"00:03:24:05";"00:03:27:18";"Ich halte die Hand meiner Mutter

krampfhaft fest."
"161";"00:03:27:20";"00:03:27:20";"FABst<d Mama sagt zu mir:( ( "Geh, du<u>"
"162";"00:03:27:20";"00:03:27:20";"FABst" musst gehen."ÿÿ?ñ"
"163";"00:03:27:20";"00:03:30:13";"Mama sagt zu mir:

"Geh, du musst gehen.""
"164";"00:03:30:15";"00:03:30:15";"FABst=D Also bin ich gegangen.ÿÿ4"
"165";"00:03:30:15";"00:03:32:18";"Also bin ich gegangen."
"166";"00:03:33:12";"00:03:33:12";"FABst>d Ich hatte nicht daran gedacht, ( ( meine9*"
"167";"00:03:33:12";"00:03:33:12";"FABst> Eltern nie wieder zu sehen.ÿÿ#Ê@"
"168";"00:03:33:12";"00:03:37:24";"Ich hatte nicht daran gedacht,

meine Eltern nie wieder zu sehen."
"169";"00:03:40:02";"00:03:40:02";"FABst?d Mit dem Bewusstsein( ( für dØ,"
"170";"00:03:40:02";"00:03:40:02";"FABst&iese Gräueltatenÿÿ;Æ"
"171";"00:03:40:02";"00:03:42:18";"Mit dem Bewusstsein

fÈur diese GrÈaueltaten"
"172";"00:03:42:20";"00:03:42:20";"FABst@d kam der Bundespräsident( ("
"173";"00:03:42:20";"00:03:42:20";"FABst"nach Warschau.ÿÿ?Òd"
"174";"00:03:42:20";"00:03:45:17";"kam der BundesprÈasident

nach Warschau."
"175";"00:03:46:14";"00:03:46:14";"FABstAdAuf Deutsch, der Sprache der Täter,( ( ñ8"
"176";"00:03:46:14";"00:03:46:14";"FABst6bittet er um Vergebungÿÿ+"
"177";"00:03:46:14";"00:03:50:01";"Auf Deutsch, der Sprache der TÈater,

bittet er um Vergebung"
"178";"00:03:50:03";"00:03:50:03";"FABstBd für die Verbrechen,( ( die DeutschýÀ"
"179";"00:03:50:03";"00:03:50:03";"FABst2e hier begangen haben.ÿÿ/î"
"180";"00:03:50:03";"00:03:53:06";"fÈur die Verbrechen,

die Deutsche hier begangen haben."
"181";"00:03:53:17";"00:03:53:17";"FABstC> Auf diesem Platz'»à"
"182";"00:03:53:17";"00:03:55:02";"Auf diesem Platz"
"183";"00:03:55:04";"00:03:55:04";"FABstDdneben dem Ehrenmal für den Aufstand( ( ðÈ"
"184";"00:03:55:04";"00:03:55:04";"FABst: im Warschauer Ghetto:/é<"
"185";"00:03:55:04";"00:03:58:24";"neben dem Ehrenmal fÈur den Aufstand

im Warschauer Ghetto:"
"186";"00:03:59:18";"00:03:59:18";"FABstEd Hier stehe ich( ( in Trauer und4"
"187";"00:03:59:18";"00:03:59:18";"FABst( Demut vor Ihnen.ÿÿ9P"
"188";"00:03:59:18";"00:04:03:01";"Hier stehe ich

in Trauer und Demut vor Ihnen."
"189";"00:04:03:03";"00:04:03:03";"FABstFd Ich bekenne mich( ( zu unsereE8"
"190";"00:04:03:03";"00:04:03:03";"FABst$r Verantwortungÿÿ=þd"
"191";"00:04:03:03";"00:04:05:17";"Ich bekenne mich

zu unserer Verantwortung"
"192";"00:04:05:19";"00:04:05:19";"FABstGd für die Verbrechen( ( der VáÎ"
"193";"00:04:05:19";"00:04:05:19";"FABst ergangenheit.ÿÿA¡~"
"194";"00:04:05:19";"00:04:08:05";"fÈur die Verbrechen

der Vergangenheit."
"195";"00:04:08:07";"00:04:08:07";"FABstHd Und zu unserer Verantwortung( ( für e²Þ"
"196";"00:04:08:07";"00:04:08:07";"FABst4ine gemeinsame Zukunft.ÿÿ-âÌ"
"197";"00:04:08:07";"00:04:12:16";"Und zu unserer Verantwortung

fÈur eine gemeinsame Zukunft."
"198";"00:04:14:15";"00:04:14:15";"FABstIN Dort, wo früher das Ghetto war,ÿÿX°"
"199";"00:04:14:15";"00:04:17:02";"Dort, wo frÈuher das Ghetto war,"
"200";"00:04:17:04";"00:04:17:04";"FABstJd wird heute ein Platz eingeweiht( ( ¢"
"201";"00:04:17:04";"00:04:17:04";"FABst2für Krystyna Budnicka.ÿÿ/:J"
"202";"00:04:17:04";"00:04:20:20";"wird heute ein Platz eingeweiht

fÈur Krystyna Budnicka."
"203";"00:04:21:03";"00:04:21:03";"FABstKREr bekommt den Namen ihrer Familie.ÿÿ¸Ö"
"204";"00:04:21:03";"00:04:23:22";"Er bekommt den Namen ihrer Familie."
"205";"00:04:23:24";"00:04:23:24";"FABstLPEs ist auch Krystynas Geburtsname.ÿÿ"
"206";"00:04:23:24";"00:04:26:04";"Es ist auch Krystynas Geburtsname."
"207";"00:04:28:06";"00:04:28:06";"FABstMRFür mich ist das wirklich wichtig.ÿÿE¸"
"208";"00:04:28:06";"00:04:30:15";"FÈur mich ist das wirklich wichtig."
"209";"00:04:30:20";"00:04:30:20";"FABstNd Erstmals( ( werde ich einen®"
"210";"00:04:30:20";"00:04:30:20";"FABst Platz haben,ÿÿA6"
"211";"00:04:30:20";"00:04:33:06";"Erstmals

werde ich einen Platz haben,"
"212";"00:04:33:08";"00:04:33:08";"FABstOD an den ich gehen kann.ÿÿV"
"213";"00:04:33:08";"00:04:34:24";"an den ich gehen kann."
"214";"00:04:35:01";"00:04:35:01";"FABstPd Niemand meiner Angehörigen( ( wurde mãà"
"215";"00:04:35:01";"00:04:35:01";"FABst4enschenwürdig beerdigt.ÿÿ-º"
"216";"00:04:35:01";"00:04:38:23";"Niemand meiner AngehÈorigen

wurde menschenwÈurdig beerdigt."
"217";"00:04:39:00";"00:04:39:00";"FABstQJ Keine Zeremonie, kein Gebet.ÿÿÆ"
"218";"00:04:39:00";"00:04:41:21";"Keine Zeremonie, kein Gebet."
