No.;Timecode In;Timecode Out;Subtitle
1;00:00:18:00;00:00:18:00;FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6
2;00:00:18:00;00:00:18:00;FABst¥¥¥¥ã¥ã¥¥¥¥¥§ª¦ªîªªªGö¤
3;00:00:18:00;00:00:19:07;* Gong *
4;00:00:19:09;00:00:19:09;FABstdHier ist das Erste Deutsche Fernsehen( ( 9
5;00:00:19:09;00:00:19:09;FABst: mit den tagesthemen.ÿÿ'ºð
6;00:00:19:09;00:00:22:20;"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
7;00:00:22:22;00:00:22:22;FABstd Diese Sendung wurde vom NDR( ( live Af
8;00:00:22:22;00:00:22:22;FABst6untertitelt (12.05.2023)ÿÿ+¸°
9;00:00:22:22;00:00:26:16;"Diese Sendung wurde vom NDR

live untertitelt (12.05.2023)"
10;00:00:26:18;00:00:26:18;FABstL Heute im Studio: Aline Abboud.ÿÿ¥
11;00:00:26:18;00:00:28:17;Heute im Studio: Aline Abboud.
12;00:00:29:12;00:00:29:12;FABstd Guten Abend und willkommen.( ( SchöÝ
13;00:00:29:12;00:00:29:12;FABst4n, dass Sie dabei sind.ÿÿ-¹ú
14;00:00:29:12;00:00:33:00;"Guten Abend und willkommen.

SchÈon, dass Sie dabei sind."
15;00:00:33:02;00:00:33:02;FABst: Guten Abend.ÿÿ#Õv
16;00:00:33:02;00:00:34:07;Guten Abend.
17;00:00:34:09;00:00:34:09;FABstd Frischer Wind( ( macht nicht nu&
18;00:00:34:09;00:00:34:09;"FABst&r den Kopf frei.ÿÿ;Éb"
19;00:00:34:09;00:00:37:08;"Frischer Wind

macht nicht nur den Kopf frei."
20;00:00:37:10;00:00:37:10;FABstd Manchmal sorgt er auch dafür, ( ( dass ä
21;00:00:37:10;00:00:37:10;FABst8Köpfe aneinander geraten.ÿÿ)c^
22;00:00:37:10;00:00:41:01;"Manchmal sorgt er auch dafÈur,

dass KÈopfe aneinander geraten."
23;00:00:42:05;00:00:42:05;FABstdSo wie jetzt, wenn es darum geht,( ( obT
