No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:17:16";"00:00:17:16";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:17:16";"00:00:17:16";"FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ"
"3";"00:00:17:16";"00:00:18:17";"* Gong *"
"4";"00:00:18:21";"00:00:18:21";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:18:21";"00:00:18:21";"FABst: mit den tagesthemen.ÿÿ'ºð"
"6";"00:00:18:21";"00:00:22:09";"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
"7";"00:00:22:13";"00:00:22:13";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:22:13";"00:00:22:13";"FABst6untertitelt (15.06.2023)ÿÿ+¼¨"
"9";"00:00:22:13";"00:00:26:04";"Diese Sendung wurde vom NDR

live untertitelt (15.06.2023)"
"10";"00:00:26:08";"00:00:26:08";"FABstd Heute im Studio:( ( Caren Miosga1ö"
"11";"00:00:26:08";"00:00:26:08";"FABst, und Judith Rakers.ÿÿ5¶"
"12";"00:00:26:08";"00:00:29:01";"Heute im Studio:

Caren Miosga und Judith Rakers."
"13";"00:00:29:02";"00:00:29:02";"FABstd Guten Abend zu den tagesthemen.( ( \"
"14";"00:00:29:02";"00:00:29:02";"FABst0Hallo auch von mir.ÿÿ1º¤"
"15";"00:00:29:02";"00:00:32:06";"Guten Abend zu den tagesthemen.

Hallo auch von mir."
"16";"00:00:32:10";"00:00:32:10";"FABstd Putins Krieg gegen die Ukraine( ( ist i"
"17";"00:00:32:10";"00:00:32:10";"FABst@n Russland selbst angekommen.ÿÿ!ÑV"
"18";"00:00:32:10";"00:00:36:04";"Putins Krieg gegen die Ukraine

ist in Russland selbst angekommen."
"19";"00:00:36:16";"00:00:36:16";"FABstd Das bekommen auch die Menschen( ( auf ruyÞ"
"20";"00:00:36:16";"00:00:36:16";"FABst:ssischem Gebiet zu spüren.ÿÿ'V"
"21";"00:00:36:16";"00:00:40:11";"Das bekommen auch die Menschen

auf russischem Gebiet zu spÈuren."
"22";"00:00:40:15";"00:00:40:15";"FABstd Einige russische Orte( ( nahe dej"
"23";"00:00:40:15";"00:00:40:15";"FABst.r Grenze zur Ukraine;¬"
"24";"00:00:40:15";"00:00:43:10";"Einige russische Orte

nahe der Grenze zur Ukraine"
"25";"00:00:43:14";"00:00:43:14";"FABstd wurden so stark beschossen,( ( dass sijÜ"
"26";"00:00:43:14";"00:00:43:14";"FABst<e evakuiert werden mussten.-¦"
"27";"00:00:43:14";"00:00:47:11";"wurden so stark beschossen,

dass sie evakuiert werden mussten."
"28";"00:00:47:15";"00:00:47:15";"FABstd Bislang wussten wir das alles( ( nur  "
"29";"00:00:47:15";"00:00:47:15";"FABst8von Augenzeugenberichten,ÿÿ)±$"
"30";"00:00:47:15";"00:00:51:03";"Bislang wussten wir das alles

nur von Augenzeugenberichten,"
"31";"00:00:51:07";"00:00:51:07";"FABstdda das russische Staatsfernsehen( ( dF"
"32";"00:00:51:07";"00:00:51:07";"FABst4arüber nicht berichtet.ÿÿ-JÚ"
"33";"00:00:51:07";"00:00:54:16";"da das russische Staatsfernsehen

darÈuber nicht berichtet."
"34";"00:00:54:20";"00:00:54:20";"FABstdDoch unsere Studioleiterin in Moskau( ("
"35";"00:00:54:20";"00:00:54:20";"FABstB konnte sich ein Bild machenÿÿÙT"
"36";"00:00:54:20";"00:00:58:11";"Doch unsere Studioleiterin in Moskau

konnte sich ein Bild machen"
"37";"00:00:58:15";"00:00:58:15";"FABstd von der verzweifelten( ( Lag"
"38";"00:00:58:15";"00:00:58:15";"FABst&e der Menschen. ÿÿ;Ý\"
"39";"00:00:58:15";"00:01:01:03";"von der verzweifelten

Lage der Menschen."
"40";"00:01:01:07";"00:01:01:07";"FABstdAn der russisch-ukrainischen Grenze( ( muwê"
"41";"00:01:01:07";"00:01:01:07";"FABstHssten sie aus dem Ort Schebekino ÿÿÇò"
"42";"00:01:01:07";"00:01:05:12";"An der russisch-ukrainischen Grenze

mussten sie aus dem Ort Schebekino"
"43";"00:01:05:16";"00:01:05:16";"FABstdin die Regionalhauptstadt Belgorod( ( v"
"44";"00:01:05:16";"00:01:05:16";"FABst* fliehen.ÿÿ7»ú"
"45";"00:01:05:16";"00:01:08:19";"in die Regionalhauptstadt Belgorod

fliehen."
"46";"00:01:09:03";"00:01:09:03";"FABstd Geschichten, die wir( ( bislang nut"
"47";"00:01:09:03";"00:01:09:03";"FABst8r aus der Ukraine kennen,ÿÿ)üº"
"48";"00:01:09:03";"00:01:12:16";"Geschichten, die wir

bislang nur aus der Ukraine kennen,"
"49";"00:01:12:20";"00:01:12:20";"FABstd ereignen sich jetzt( ( auch in cÚ"
"50";"00:01:12:20";"00:01:12:20";"FABst&Russland selbst.ÿÿ;Á°"
"51";"00:01:12:20";"00:01:15:19";"ereignen sich jetzt

auch in Russland selbst."
"52";"00:01:18:07";"00:01:18:07";"FABstL Geflüchtet - im eigenen Land.ÿÿ{`"
"53";"00:01:18:07";"00:01:20:14";"GeflÈuchtet - im eigenen Land."
"54";"00:01:20:18";"00:01:20:18";"FABstd Diese Menschen stammen aus der ( ( russixb"
"55";"00:01:20:18";"00:01:20:18";"FABst>schen Kleinstadt Schebekino,ÿÿ#¥Ð"
"56";"00:01:20:18";"00:01:24:13";"Diese Menschen stammen aus der

russischen Kleinstadt Schebekino,"
"57";"00:01:24:19";"00:01:24:19";"FABstd nur wenige Kilometer( ( von der¢"
"58";"00:01:24:19";"00:01:24:19";"FABst* Ukraine entfernt.ÿÿ7¬"
"59";"00:01:24:19";"00:01:27:23";"nur wenige Kilometer

von der Ukraine entfernt."
"60";"00:01:28:02";"00:01:28:02";"FABstVSie alle sind nach Belgorod geflohen.`¨"
"61";"00:01:28:02";"00:01:30:24";"Sie alle sind nach Belgorod geflohen."
"62";"00:01:34:19";"00:01:34:19";"FABstd Tag und Nacht( ( sei Schebekino"
"63";"00:01:34:19";"00:01:34:19";"FABst, beschossen worden.ÿÿ5Ä"
"64";"00:01:34:19";"00:01:38:02";"Tag und Nacht

sei Schebekino beschossen worden."
"65";"00:01:38:06";"00:01:38:06";"FABst@ Die Wut ist groß.ÿÿTT"
"66";"00:01:38:06";"00:01:40:15";"Die Wut ist groû."
"67";"00:01:42:05";"00:01:42:05";"FABstd Sind Sie nicht sauer( ( auf:"
"68";"00:01:42:05";"00:01:42:05";"FABst die Ukraine?ÿÿA*"
"69";"00:01:42:05";"00:01:44:16";"Sind Sie nicht sauer

auf die Ukraine?"
"70";"00:01:44:20";"00:01:44:20";"FABstN Noch wütender macht mich Biden.ÿÿ%ì"
"71";"00:01:44:20";"00:01:47:06";"Noch wÈutender macht mich Biden."
"72";"00:01:47:14";"00:01:47:14";"FABstRDer hat überall seine Finger drin.ÿÿ9>"
"73";"00:01:47:14";"00:01:49:16";"Der hat Èuberall seine Finger drin."
"74";"00:01:49:20";"00:01:49:20";"FABst@ Erst Jugoslawien.ÿÿÂâ"
"75";"00:01:49:20";"00:01:50:24";"Erst Jugoslawien."
"76";"00:01:51:03";"00:01:51:03";"FABst@ Jetzt will er uns.ÿÿ½ö"
"77";"00:01:51:03";"00:01:52:08";"Jetzt will er uns."
"78";"00:01:52:12";"00:01:52:12";"FABstJ Ich würde da so draufhauen,ÿÿö"
"79";"00:01:52:12";"00:01:54:04";"Ich wÈurde da so draufhauen,"
"80";"00:01:54:08";"00:01:54:08";"FABstd dass Amerika( ( ein für alle M·"
"81";"00:01:54:08";"00:01:54:08";"FABst(al vergessen ist.ÿÿ9Ù<i>"
"82";"00:01:54:08";"00:01:57:14";"dass Amerika

ein fÈur alle Mal vergessen ist."
"83";"00:02:01:17";"00:02:01:17";"FABstd Nie hätten wir gedacht,( ( dass mit<i>n"
"84";"00:02:01:17";"00:02:01:17";"FABst< Schebekino etwas passiert.ÿÿ%¬"
"85";"00:02:01:17";"00:02:05:11";"Nie hÈatten wir gedacht,

dass mit Schebekino etwas passiert."
"86";"00:02:05:15";"00:02:05:15";"FABst L Dass unser Putin das zulässt.ÿÿ="
"87";"00:02:05:15";"00:02:07:21";"Dass unser Putin das zulÈasst."
"88";"00:02:08:00";"00:02:08:00";"FABst!d Wir dachten immer,( ( dass erkt"
"89";"00:02:08:00";"00:02:08:00";"FABst$ uns beschützt,ÿÿ=I"
