No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:17:16";"00:00:17:16";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:17:16";"00:00:17:16";"FABst¥¥¥¥ã¥ã¥¥¥¥¥§ª¦ªîªªªGö¤"
"3";"00:00:17:16";"00:00:19:02";"* Gong *"
"4";"00:00:19:08";"00:00:19:08";"FABstd Diese Sendung wurde vom NDR( ( live @h"
"5";"00:00:19:08";"00:00:19:08";"FABst6untertitelt (02.06.2023)ÿÿ+º®"
"6";"00:00:19:08";"00:00:23:06";"Diese Sendung wurde vom NDR

live untertitelt (02.06.2023)"
"7";"00:00:23:15";"00:00:23:15";"FABstd Heute im Studio:( ( Caren Miosga ucp"
"8";"00:00:23:15";"00:00:23:15";"FABst0nd Thorsten Schröder.ÿÿ1J"
"9";"00:00:23:15";"00:00:27:07";"Heute im Studio:

Caren Miosga und Thorsten SchrÈoder."
"10";"00:00:29:00";"00:00:29:00";"FABstB Guten Abend.Hallo.ÿÿþ"
"11";"00:00:29:00";"00:00:30:18";"Guten Abend.Hallo."
"12";"00:00:31:10";"00:00:31:10";"FABstH Es ist einer dieser Fälle,ÿÿQH"
"13";"00:00:31:10";"00:00:33:13";"Es ist einer dieser FÈalle,"
"14";"00:00:33:14";"00:00:33:14";"FABstd in denen es nicht nur( ( um Schulô"
"15";"00:00:33:14";"00:00:33:14";"FABst0d oder Unschuld geht.ÿÿ1ºê"
"16";"00:00:33:14";"00:00:37:03";"in denen es nicht nur

um Schuld oder Unschuld geht."
"17";"00:00:37:04";"00:00:37:04";"FABstH Es geht auch um die Frage,ÿÿö"
"18";"00:00:37:04";"00:00:39:05";"Es geht auch um die Frage,"
"19";"00:00:39:06";"00:00:39:06";"FABstd wie wir umgehen( ( mit krimine~¬"
"20";"00:00:39:06";"00:00:39:06";"FABst*llen Geflüchteten.ÿÿ7D2"
"21";"00:00:39:06";"00:00:42:10";"wie wir umgehen

mit kriminellen GeflÈuchteten."
"22";"00:00:42:11";"00:00:42:11";"FABstd Ein Mann aus Eritrea( ( beging Kp"
"23";"00:00:42:11";"00:00:42:11";"FABst*dieses Verbrechen.ÿÿ7Ç>"
"24";"00:00:42:11";"00:00:45:11";"Ein Mann aus Eritrea

beging dieses Verbrechen."
"25";"00:00:46:00";"00:00:46:00";"FABstF Das Haus ist abgerissen.`Æ"
"26";"00:00:46:00";"00:00:48:00";"Das Haus ist abgerissen."
"27";"00:00:48:01";"00:00:48:01";"FABstRAuf dem Bauzaun prangen Graffitis,`±¬"
"28";"00:00:48:01";"00:00:50:17";"Auf dem Bauzaun prangen Graffitis,"
"29";"00:00:50:18";"00:00:50:18";"FABstd als müsse wieder Farbe( ( in diÁ&"
"30";"00:00:50:18";"00:00:50:18";"FABst(esen Ort kommen. ÿÿ9©"
"31";"00:00:50:18";"00:00:53:22";"als mÈusse wieder Farbe

in diesen Ort kommen."
"32";"00:00:53:23";"00:00:53:23";"FABstd Über Illerkirchberg( ( hat sich è"
"33";"00:00:53:23";"00:00:53:23";"FABst.ein Schatten gelegt.ÿÿ3"
"34";"00:00:53:23";"00:00:57:08";"ÈUber Illerkirchberg

hat sich ein Schatten gelegt."
"35";"00:00:57:09";"00:00:57:09";"FABstJ Es war am Tag vor Nikolaus:ÿÿÁ4"
"36";"00:00:57:09";"00:00:59:15";"Es war am Tag vor Nikolaus:"
