No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:03:00";"00:00:03:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:03:00";"00:00:03:00";"FABst¥¥¥á¥¥à¥ã¥¥¥¥§ª¦ªîªªªGÌ"
"3";"00:00:03:00";"00:00:04:03";"* Gong *"
"4";"00:00:04:11";"00:00:04:11";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:04:11";"00:00:04:11";"FABst: mit der tagesschau.ÿÿ'õþ"
"6";"00:00:04:11";"00:00:08:10";"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
"7";"00:00:08:13";"00:00:08:13";"FABstd Diese Sendung wurde vom NDR( ( live Af"
"8";"00:00:08:13";"00:00:08:13";"FABst6untertitelt (30.05.2023)ÿÿ+¸°"
"9";"00:00:08:13";"00:00:12:22";"Diese Sendung wurde vom NDR

live untertitelt (30.05.2023)"
"10";"00:00:15:11";"00:00:15:11";"FABstd Heute im Studio:( ( Constanü"
"11";"00:00:15:11";"00:00:15:11";"FABst"tin Schreiber.ÿÿ?ÞN"
"12";"00:00:15:11";"00:00:17:24";"Heute im Studio:

Constantin Schreiber."
"13";"00:00:18:07";"00:00:18:07";"FABstd Guten Abend,( ( ich begrüße Si3¦"
"14";"00:00:18:07";"00:00:18:07";"FABst(e zur tagesschau.A¯R"
"15";"00:00:18:07";"00:00:21:02";"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
"16";"00:00:22:05";"00:00:22:05";"FABstd Erstmals seit Beginn( ( des Angriffô"
"17";"00:00:22:05";"00:00:22:05";"FABst8skriegs gegen die Ukraineÿÿ)ç`"
"18";"00:00:22:05";"00:00:26:05";"Erstmals seit Beginn

des Angriffskriegs gegen die Ukraine"
"19";"00:00:26:10";"00:00:26:10";"FABstd wurde Moskau offenbar Ziel( ( eines gs"
"20";"00:00:26:10";"00:00:26:10";"FABst6rößeren Drohnenangriffs.ÿÿ+í>"
"21";"00:00:26:10";"00:00:30:12";"wurde Moskau offenbar Ziel

eines grÈoûeren Drohnenangriffs."
"22";"00:00:30:15";"00:00:30:15";"FABstd Mehrere Gebäude( ( seien beschäd$"
"23";"00:00:30:15";"00:00:30:15";"FABst.igt worden, hieß es.ÿÿ3"
"24";"00:00:30:15";"00:00:34:01";"Mehrere GebÈaude

seien beschÈadigt worden, hieû es."
"25";"00:00:34:04";"00:00:34:04";"FABstL Laut Verteidigungsministeriumÿÿ£"
"26";"00:00:34:04";"00:00:36:06";"Laut Verteidigungsministerium"
"27";"00:00:36:10";"00:00:36:10";"FABstd hat die Flugabwehr( ( einige O}ú"
"28";"00:00:36:10";"00:00:36:10";"FABst&bjekte zerstört.ÿÿ;sN"
"29";"00:00:36:10";"00:00:39:10";"hat die Flugabwehr

einige Objekte zerstÈort."
