No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:17:16";"00:00:17:16";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:17:16";"00:00:17:16";"FABst¥¥¥æ¥¥ã¥¥¥ç¥¥§ª¦ªîªªªG¦"
"3";"00:00:17:16";"00:00:18:19";"* Gong *"
"4";"00:00:18:21";"00:00:18:21";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:18:21";"00:00:18:21";"FABst: mit den tagesthemen.ÿÿ'ºð"
"6";"00:00:18:21";"00:00:22:05";"Hier ist das Erste Deutsche Fernsehen

mit den tagesthemen."
"7";"00:00:22:07";"00:00:22:07";"FABstdDiese Sendung wurde vom NDR live( ( j("
"8";"00:00:22:07";"00:00:22:07";"FABst8untertitelt (13.06.2023)ÿÿ)½¼"
"9";"00:00:22:07";"00:00:26:00";"Diese Sendung wurde vom NDR live

untertitelt (13.06.2023)"
"10";"00:00:26:02";"00:00:26:02";"FABstd Heute im Studio:( ( Caren Miosga 1ö"
"11";"00:00:26:02";"00:00:26:02";"FABst4und Julia-Niharika Sen.ÿÿ-´"
"12";"00:00:26:02";"00:00:29:05";"Heute im Studio:

Caren Miosga und Julia-Niharika Sen."
"13";"00:00:29:23";"00:00:29:23";"FABstdUnd die sagen beide: willkommen.( ( 7"
"14";"00:00:29:23";"00:00:29:23";"FABst( Guten Abend.ÿÿ9ÓB"
"15";"00:00:29:23";"00:00:32:23";"Und die sagen beide: willkommen.

Guten Abend."
"16";"00:00:33:08";"00:00:33:08";"FABstH Endlich kann es losgehen.ÿÿú"
"17";"00:00:33:08";"00:00:35:04";"Endlich kann es losgehen."
"18";"00:00:35:06";"00:00:35:06";"FABstd Der Abschied von Öl-( ( und Gashe·N"
"19";"00:00:35:06";"00:00:35:06";"FABst.izungen wird kommen,ÿÿ3¿¨"
"20";"00:00:35:06";"00:00:38:08";"Der Abschied von ÈOl-

und Gasheizungen wird kommen,"
"21";"00:00:38:10";"00:00:38:10";"FABstTaber es ist ein Abschied auf Raten.ÿÿ"
"22";"00:00:38:10";"00:00:40:13";"aber es ist ein Abschied auf Raten."
"23";"00:00:41:13";"00:00:41:13";"FABst> Am frühen Abend'-"
"24";"00:00:41:13";"00:00:42:18";"Am frÈuhen Abend"
"25";"00:00:42:20";"00:00:42:20";"FABstd brachte das Ampelbündnis ihn( ( quasi`"
"26";"00:00:42:20";"00:00:42:20";"FABstD im letzten Moment auf den Weg.%³~"
"27";"00:00:42:20";"00:00:46:22";"brachte das AmpelbÈundnis ihn

quasi im letzten Moment auf den Weg."
"28";"00:00:46:23";"00:00:46:23";"FABstd Damit sich der Streit( ( um das h"
"29";"00:00:46:23";"00:00:46:23";"FABst.Gebäudeenergiegesetz;PÆ"
"30";"00:00:46:23";"00:00:49:20";"Damit sich der Streit

um das GebÈaudeenergiegesetz"
"31";"00:00:49:22";"00:00:49:22";"FABstdnicht über den Sommer zieht, musste( ( sô"
"32";"00:00:49:22";"00:00:49:22";"FABstFich die Koalition heute einigen.ÿÿÆú"
"33";"00:00:49:22";"00:00:54:01";"nicht Èuber den Sommer zieht, musste

sich die Koalition heute einigen."
"34";"00:00:54:03";"00:00:54:03";"FABstd Unter größten Mühen und( ( nach eineæ"
"35";"00:00:54:03";"00:00:54:03";"FABst6m quälend langen Streit.ÿÿ+RÞ"
"36";"00:00:54:03";"00:00:58:14";"Unter grÈoûten MÈuhen und

nach einem quÈalend langen Streit."
"37";"00:00:58:19";"00:00:58:19";"FABstd Die Grünen wollten Vollgas geben,( ( dieÙà"
"38";"00:00:58:19";"00:00:58:19";"FABstF Gelben und Roten bremsten aber.ÿÿ¤p"
"39";"00:00:58:19";"00:01:02:20";"Die GrÈunen wollten Vollgas geben,

die Gelben und Roten bremsten aber."
"40";"00:01:02:22";"00:01:02:22";"FABst> Nun kam heraus:ÿÿýz"
"41";"00:01:02:22";"00:01:04:00";"Nun kam heraus:"
"42";"00:01:04:02";"00:01:04:02";"FABstdDie Deutschen bekommen mehr Zeit,( ( die@"
"43";"00:01:04:02";"00:01:04:02";"FABst> alte Heizung auszutauschen.ÿÿ#Û"
"44";"00:01:04:02";"00:01:07:21";"Die Deutschen bekommen mehr Zeit,

die alte Heizung auszutauschen."
"45";"00:01:07:23";"00:01:07:23";"FABstd Für viele gilt das Gesetz( ( çf"
"46";"00:01:07:23";"00:01:07:23";"FABst$erst ab 2028.ÿÿ=Áè"
