No.;Timecode In;Timecode Out;Subtitle
"1";"00:00:03:00";"00:00:03:00";"FABst6 * Gong *ÿÿZZZZZZZZZZ¥¥ã¥¥¥¥¥6"
"2";"00:00:03:00";"00:00:03:00";"FABst¥¥¥æ¥¥ã¥¥¥ç¥¥§ª¦ªîªªªG¦"
"3";"00:00:03:00";"00:00:04:05";"* Gong *"
"4";"00:00:04:08";"00:00:04:08";"FABstdHier ist das Erste Deutsche Fernsehen( ( 9"
"5";"00:00:04:08";"00:00:04:08";"FABst: mit der tagesschau.ÿÿ'õþ"
"6";"00:00:04:08";"00:00:07:19";"Hier ist das Erste Deutsche Fernsehen

mit der tagesschau."
"7";"00:00:07:21";"00:00:07:21";"FABstd Diese Sendung wurde Vom NDR( ( live af"
"8";"00:00:07:21";"00:00:07:21";"FABst6untertitelt (22.05.2023)ÿÿ+»¬"
"9";"00:00:07:21";"00:00:12:21";"Diese Sendung wurde Vom NDR

live untertitelt (22.05.2023)"
"10";"00:00:14:23";"00:00:14:23";"FABstd Heute im Studio:( ( Jen>"
"11";"00:00:14:23";"00:00:14:23";"FABsts Riewa.ÿÿKj"
"12";"00:00:14:23";"00:00:17:01";"Heute im Studio:

Jens Riewa."
"13";"00:00:17:23";"00:00:17:23";"FABstd Guten Abend,( ( ich begrüße Si3¦"
"14";"00:00:17:23";"00:00:17:23";"FABst(e zur tagesschau.ÿÿ9Â"
"15";"00:00:17:23";"00:00:21:10";"Guten Abend,

ich begrÈuûe Sie zur tagesschau."
"16";"00:00:21:23";"00:00:21:23";"FABstd Nach der Entlassung( ( von Staa"
"17";"00:00:21:23";"00:00:21:23";"FABst,tssekretär Graichenÿÿ5f<i>"
"18";"00:00:21:23";"00:00:24:18";"Nach der Entlassung

von StaatssekretÈar Graichen"
"19";"00:00:24:20";"00:00:24:20";"FABstd steht dessen Nachfolger( ( im Wirts:"
"20";"00:00:24:20";"00:00:24:20";"FABst4chaftsministerium fest:ÿÿ-</u>¬"
"21";"00:00:24:20";"00:00:28:03";"steht dessen Nachfolger

im Wirtschaftsministerium fest:"
"22";"00:00:28:05";"00:00:28:05";"FABstdDer Grünen-Politiker Nimmermann (57)( ( <u>"
"23";"00:00:28:05";"00:00:28:05";"FABst>wird den Posten übernehmen,ÿÿ#/$"
"24";"00:00:28:05";"00:00:31:23";"Der GrÈunen-Politiker Nimmermann (57)

wird den Posten Èubernehmen,"
"25";"00:00:32:00";"00:00:32:00";"FABstd Damit auch die Weichenstellungen ( ( für dþò"
"26";"00:00:32:00";"00:00:32:00";"FABstBas umstrittene Heizungsgesetz.ÿÿÍ"
"27";"00:00:32:00";"00:00:36:01";"Damit auch die Weichenstellungen

fÈur das umstrittene Heizungsgesetz."
"28";"00:00:36:03";"00:00:36:03";"FABstd Er wechselt aus dem hessischen( ( Wirtschaæ"
"29";"00:00:36:03";"00:00:36:03";"FABst>aftsministerium nach Berlin.ÿÿ#²"
"30";"00:00:36:03";"00:00:40:17";"Er wechselt aus dem hessischen

Wirtschaftsministerium nach Berlin."
"31";"00:00:40:19";"00:00:40:19";"FABstd Laut Wirtschaftsminister Habeck( ( wird N#"
"32";"00:00:40:19";"00:00:40:19";"FABstBimmermann mit "frischem Blick"ÿÿÐ"
"33";"00:00:40:19";"00:00:45:02";"Laut Wirtschaftsminister Habeck

wird Nimmermann mit "frischem Blick""
"34";"00:00:45:04";"00:00:45:04";"FABstH Prozesse neu durchdenken.ÿÿÒ"
"35";"00:00:45:04";"00:00:46:24";"Prozesse neu durchdenken."
"36";"00:00:48:06";"00:00:48:06";"FABstd Hier zieht bald( ( ein neuer Sta è"
"37";"00:00:48:06";"00:00:48:06";"FABst(atssekretär ein A.T"
"38";"00:00:48:06";"00:00:51:05";"Hier zieht bald

ein neuer StaatssekretÈar ein Ð"
"39";"00:00:51:07";"00:00:51:07";"FABstP der Ex-Banker Philipp Nimmermann.¯"
"40";"00:00:51:07";"00:00:53:18";"der Ex-Banker Philipp Nimmermann."
"41";"00:00:53:20";"00:00:53:20";"FABstd Er war schon im Finanzministerium( ( Kú"
"42";"00:00:53:20";"00:00:53:20";"FABst4in Schleswig-Holstein,ÿÿ-¬t"
"43";"00:00:53:20";"00:00:57:09";"Er war schon im Finanzministerium

in Schleswig-Holstein,"
