Timecode In,Timecode Out,Subtitle
00:00:18:22,00:00:22:09,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:13,00:00:25:21,Diese Sendung wurde vom NDR live untertitelt (22.04.2023)
00:00:25:24,00:00:27:24,Heute im Studio: Aline Abboud.
00:00:28:02,00:00:31:12,"Willkommen zu den tagesthemen. Schoen, das Sie dabei sind."
00:00:31:16,00:00:35:10,Fuer die Nachrichten ist heute Julia dabei.Guten Abend.
00:00:35:14,00:00:37:18,Und den Sport hat Okka.Guten Abend.
00:00:38:23,00:00:40:17,"""Machen, was wichtig wird."""
00:00:40:21,00:00:43:19,"Das ist das Motto des Parteitages der FDP,"
00:00:43:23,00:00:45:20,der bis morgen in Berlin laeuft.
00:00:46:19,00:00:50:08,Wichtig ist fuer die FDP vor allem das politische ÈUberleben.
00:00:50:12,00:00:54:12,Die letzten fuenf Landtagswahlen liefen schlecht fuer die Liberalen.
00:00:54:16,00:00:56:16,Im Bund stehen sie aktuell bei 7 %.
00:00:56:20,00:01:01:01,Der Kurs der FDP als Teil der Ampel- Koalition verfaengt scheinbar nicht.
00:01:01:05,00:01:03:03,Frust unter den Mitgliedern.
00:01:03:07,00:01:06:13,Auf ihrem Parteitag betont die FDP nun Eigenstaendigkeit
00:01:06:18,00:01:10:03,"und distanziert sich von ""links-gruenen Stuhlkreisen""."
00:01:10:07,00:01:13:13,Bei einem Thema zeigte sich der ÈArger ueber die Ampel
00:01:13:17,00:01:15:03,besonders deutlich.
00:01:15:07,00:01:16:12,Nils Crauser.
00:01:18:12,00:01:20:12,"Es ist einer der Augenblicke,"
00:01:20:16,00:01:23:23,auf den viele beim FDP-Bundesparteitag gewartet haben.
00:01:24:02,00:01:26:12,Frank Schaeffler aus Ostwestfalen-Lippe
00:01:26:16,00:01:30:22,bringt seinen Dringlichkeitsantrag gegen das Gebaeude-Energie-Gesetz ein.
00:01:31:01,00:01:33:16,Die Buerger duerften bei der Wahl ihrer Heizung
00:01:33:18,00:01:35:12,nicht eingeschraenkt werden.
00:01:35:16,00:01:38:23,"Wir sollten den Menschen ueberlassen, wie sie investieren"
00:01:39:02,00:01:41:05,und sie nicht bevormunden.
00:01:44:09,00:01:48:03,Das muss die liberale Botschaft dieses Parteitags sein.
00:01:49:12,00:01:53:05,"Der Antrag fordert die Bundestagsfraktion u.a. dazu auf,"
00:01:53:09,00:01:56:21,sich gegen die Festlegung auf eine Technologie einzusetzen.
00:01:57:00,00:01:59:21,Am Ende geht der mit grosser Mehrheit durch.
00:02:00:00,00:02:02:06,"Die Bundestagsfraktion begruesst das,"
00:02:02:10,00:02:05:11,weist aber auch auf ihre Verhandlungserfolge hin.
00:02:05:15,00:02:09:05,"Der urspruengliche Plan, bestehende Heizungen rauszureissen,"
00:02:09:09,00:02:10:20,war vom Tisch.
