Timecode In,Timecode Out,Subtitle
00:00:04:13,00:00:07:23,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:00,00:00:12:15,Diese Sendung wurde vom NDR live untertitelt (18.05.2023)
00:00:15:08,00:00:18:04,Heute im Studio: Thorsten Schroeder.
00:00:18:06,00:00:21:02,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:01,00:00:26:04,Nach der Entlassung von Wirtschaftsstaatssekretaer Graichen
00:00:26:06,00:00:29:14,gibt es neuen Streit ueber das Gebaeudeenergiegesetz.
00:00:29:16,00:00:33:10,Die FDP stellt jetzt den Zeitplan fuer das umstrittene Vorhaben
00:00:33:12,00:00:36:15,zum Austausch von ÈOl- und Gasheizungen in Frage.
00:00:36:17,00:00:38:04,Die Begruendung:
00:00:38:06,00:00:41:19,Dem Bundestag fehle nun der Ansprechpartner fuer das Gesetz.
00:00:41:20,00:00:44:15,SPD und Gruene sehen keinen Zusammenhang.
00:00:45:14,00:00:49:05,Sichtlich angefasst verkuendet der Wirtschaftsminister gestern
00:00:49:07,00:00:52:14,die Versetzung seines Staatssekretaers in den Ruhestand.
00:00:52:16,00:00:55:20,Auch aus seiner Sicht ist der Schritt unausweichlich.
00:00:55:22,00:01:00:17,Der gesamte Zeitplan fuer das Heizungsgesetz geraet in Schieflage.
00:01:01:13,00:01:03:24,Auch im Regierungslager.
00:01:05:03,00:01:08:22,"Es gibt viele Dinge, die an diesem Gesetz geaendert werden muessen."
00:01:09:00,00:01:11:01,Es muss zurueck in die Montagehalle
00:01:11:04,00:01:13:15,und in einem neuen Entwurf beraten werden.
00:01:13:18,00:01:18:05,Viele Einzelheiten umstritten und der zustaendige Staatssekretaer muss gehen.
00:01:18:08,00:01:22:03,"Dass Habeck sein Heizungsgesetz vor der Sommerpause durchbringt,"
00:01:22:05,00:01:23:11,scheint fraglich.
00:01:23:13,00:01:27:21,"Die Union fordert die Regierung auf, das Vorhaben ganz aufzugeben."
00:01:28:09,00:01:32:14,"Ich erwarte von Minister Habeck, dass er die Stopp-Taste drueckt."
00:01:32:16,00:01:34:10,"Dass er nicht versucht,"
00:01:34:12,00:01:39:04,ein Gesetz durchzudruecken gegen wissenschaftliche Berechnung.
00:01:39:13,00:01:43:19,Das gegen die Wuensche der Buergerinnen und Buerger ist
00:01:43:21,00:01:46:21,und das nicht technologieoffen ist.
00:01:47:20,00:01:50:17,Die Gruenen ficht der Vorwurf nicht an.
00:01:50:19,00:01:54:22,Der naechste Schritt zur Energiewende werde nun zuegig gegangen.
00:01:54:24,00:01:59:16,So sei es im Koalitionsausschuss mit SPD und FDP vereinbart worden.
00:02:00:08,00:02:03:06,Im Kabinett haben wieder alle zugestimmt.
00:02:03:08,00:02:06:09,Deswegen sind wir jetzt genau auf diesem Weg.
00:02:06:11,00:02:10:14,Vor dem Sommer wird es einen Beschluss ueber das Gesetz geben.
00:02:10:21,00:02:13:17,Auch die SPD moechte den Zeitplan halten.
00:02:13:19,00:02:17:08,Die juengste Personalentscheidung im Wirtschaftsministerium
00:02:17:11,00:02:19:20,duerfe die Energiewende nicht ausbremsen.
00:02:19:22,00:02:21:24,"Das koennen wir nur erreichen,"
00:02:22:02,00:02:25:22,wenn wir zuegig ins Verfahren eintreten und es zuegig abschliessen.
00:02:25:24,00:02:28:23,Robert Habeck hat ein personelles Problem erledigt.
00:02:29:00,00:02:31:23,Inhaltlich kommt er der Energiewende nicht naeher.
00:02:32:00,00:02:35:06,Das Heizungsgesetz behaelt fuer die Regierung Sprengkraft.
00:02:35:13,00:02:39:02,Unterdessen ist mit Udo Philipp ein weiterer Staatssekretaer
00:02:39:05,00:02:42:14,aus dem Bundeswirtschaftsministerium in die Kritik geraten.
00:02:42:15,00:02:45:09,Es geht um einen moeglichen Interessenskonflikt.
00:02:45:11,00:02:48:16,Philipp besitzt Beteiligungen an mehreren Unternehmen
00:02:48:18,00:02:52:17,und ist fuer die Startup-Strategie der Bundesregierung verantwortlich.
00:02:52:19,00:02:56:07,Das Wirtschaftsministerium veroeffentlichte heute eine Liste
00:02:56:09,00:02:58:21,seiner direkten Beteiligungen und erklaerte:
00:02:58:23,00:03:02:14,Philipp sei bei seiner Arbeit nicht mit diesen Firmen befasst.
00:03:03:12,00:03:05:17,Russland feuerte wieder Raketen
00:03:05:19,00:03:08:18,auf Kiew und andere ukrainische Staedte ab.
00:03:08:20,00:03:11:08,Laut Militaerverwaltung der Ukraine
00:03:11:10,00:03:14:16,wurde in der Hafenstadt Odessa ein Mensch getoetet.
00:03:14:18,00:03:18:20,Die Flugabwehr habe 29 von 30 Marschflugkoerpern zerstoeren koennen.
00:03:18:22,00:03:21:24,Heftige Kaempfe gab es auch rund um Bachmut.
00:03:23:05,00:03:27:08,Angriffe der vergangenen Nacht - fast ueberall in der Ukraine.
00:03:27:10,00:03:28:22,Auch in Kiew:
00:03:28:24,00:03:33:06,"Hier habe die Flugabwehr, alle Raketen zerstoeren koennen."
00:03:33:23,00:03:36:23,"Dennoch stuerzten gefaehrliche Truemmer herab,"
00:03:37:00,00:03:40:14,etwa auf diesem Spielplatz neben einem Kindergarten.
00:03:40:16,00:03:42:08,Gegen 5 Uhr frueh Ð
00:03:42:10,00:03:45:16,"eine Explosion, vielleicht eine Drohne oder so."
00:03:45:18,00:03:48:08,Sehen Sie dieses Loch da drueben?
00:03:48:17,00:03:52:04,Gestern empfing der ukrainische Aussenminister Kuleba
00:03:52:06,00:03:55:01,den chinesischen Sondergesandten Li Hui.
00:03:55:03,00:03:59:04,"Es ist der erste Besuch eines hochrangigen Diplomaten aus Peking,"
00:03:59:06,00:04:00:22,persoenlich in Kiew.
00:04:01:23,00:04:05:21,Ich setze keine grossen Hoffnungen in Li Hui.
00:04:06:13,00:04:11:05,"Ich denke, er ist nur jemand, der Informationen sammelt,"
00:04:11:07,00:04:15:03,"also momentan wenig sagt, dafuer aber mehr zuhoert."
00:04:17:23,00:04:21:08,Indes gehen in Bachmut die Kaempfe weiter.
00:04:22:21,00:04:26:05,"Von hier sollen sich die Russen zurueckziehen,"
00:04:26:07,00:04:29:15,sowie alle anderen besetzten Gebiete verlassen.
00:04:29:17,00:04:33:22,"Dies sei die zentrale Voraussetzung fuer Gespraeche mit Russland,"
00:04:33:24,00:04:36:23,so Aussenminister Kuleba gegenueber Li.
00:04:37:08,00:04:40:11,"Nach Kiew will Li auch nach Moskau reisen,"
00:04:40:13,00:04:42:21,"um zu schlichten, wie es heisst."
00:04:44:10,00:04:47:19,Der Krieg in der Ukraine ist auch Thema beim Gipfel
00:04:47:21,00:04:52:04,der sieben groessten westlichen Industriestaaten in Hiroshima.
00:04:52:06,00:04:55:19,Auch Kanzler Scholz ist mit seiner Frau angereist.
00:04:55:21,00:04:57:24,Er erwarte vom G7-Gipfel
00:04:58:01,00:05:01:19,ein klares Signal gegen den Einsatz von Atomwaffen.
00:05:01:21,00:05:04:22,Hiroshima sei ein symboltraechtiger Ort.
00:05:04:24,00:05:06:24,In den Gespraechen geht es
00:05:07:01,00:05:10:16,auch um die Beziehungen der G7-Staaten zu China.
00:05:12:05,00:05:16:16,"Mehrere Laender im Nahen Osten kaempfen mit einer Ernaehrungskrise,"
00:05:16:18,00:05:19:20,wegen der extrem gestiegenen Lebensmittelpreise.
00:05:19:22,00:05:23:21,Laut Welternaehrungsprogramm haben sich Nahrungsmittel in der Region
00:05:23:24,00:05:26:00,zuletzt um ueber 60 % verteuert.
00:05:26:02,00:05:29:13,Zum Teil liege die Inflationsrate im dreistelligen Bereich.
00:05:29:15,00:05:32:20,Besonders schwer haben es die Menschen im Libanon.
00:05:33:16,00:05:37:10,Sich keine oder nur bestimmte Lebensmittel leisten zu koennen Ð
00:05:37:12,00:05:41:00,fuer die Familie von Fawzeia Abdalla ist das Alltag.
00:05:41:02,00:05:44:16,Am Rande von Beirut leben die syrischen Fluechtlinge
00:05:44:18,00:05:46:11,in einer Art Holzhuette.
00:05:46:13,00:05:48:01,"Arm, hungrig."
00:05:48:19,00:05:52:00,"Wir essen Oliven, Thymian, etwas Kaese,"
00:05:52:02,00:05:55:07,"manchmal kaufe ich Bulgur, Linsen und Reis."
00:05:55:09,00:05:57:07,Fleisch oder Fisch nie.
00:05:57:09,00:06:01:02,"Es sei denn, jemand hat Mitleid und schenkt uns was."
00:06:01:22,00:06:05:08,"Das Geld, das sie als Putzfrau in einer Schule verdient,"
00:06:05:10,00:06:06:19,reicht nicht mehr.
00:06:06:21,00:06:09:21,Die Inflation bei Lebensmitteln liegt im Libanon
00:06:09:23,00:06:13:04,laut UN-Welternaehrungsprogramm bei 138 Prozent.
00:06:13:06,00:06:16:11,"Auch in Syrien, ÈAgypten, in der Tuerkei oder im Iran"
00:06:16:13,00:06:18:06,ist die Lage dramatisch.
00:06:18:08,00:06:20:07,Wirtschafts- und Waehrungskrisen
00:06:20:09,00:06:23:04,haben die Preise fuer Essen explodieren lassen.
00:06:23:06,00:06:27:04,Viele Laender im Nahen Osten haengen an einem seidenen Faden.
00:06:27:07,00:06:29:05,An der Tuerschwelle Europas
00:06:29:07,00:06:33:07,vergroessert sich eine humanitaere Nothilfe-Grosskrise.
00:06:34:04,00:06:36:10,Das Grundproblem in der Region:
00:06:36:12,00:06:39:14,"Viele Lebensmittel muessen teuer importiert werden,"
00:06:39:16,00:06:42:02,weil vor Ort nicht genug produziert wird.
00:06:42:04,00:06:44:11,Der Klimawandel verschaerft die Lage.
00:06:44:14,00:06:48:19,"Um der Katastrophe Herr zu werden, muesse die internationale Gemeinschaft"
00:06:48:21,00:06:51:05,"mehr leisten, sagen Hilfsorganisationen."
00:06:51:07,00:06:55:01,Auch Fawzeia Abdalla und ihre Familie hoffen auf Unterstuetzung.
00:06:55:03,00:06:59:01,Im Moment aber bekomme man nichts und bleibe deswegen oft hungrig.
00:06:59:07,00:07:03:10,Am 18. Mai 1848 trat die erste deutsche Nationalversammlung
00:07:03:12,00:07:06:10,in der Paulskirche in Frankfurt/Main zusammen.
00:07:06:12,00:07:09:12,175 Jahre spaeter feierten am selben Ort
00:07:09:14,00:07:13:03,Gaeste aus Politik und Gesellschaft den Jahrestag.
00:07:13:05,00:07:17:01,Bundespraesident Steinmeier betonte die besondere Bedeutung
00:07:17:03,00:07:19:22,der Nationalversammlung fuer die Demokratie.
00:07:19:24,00:07:22:05,Hier ein historischer Rueckblick.
00:07:23:02,00:07:26:06,Es war ein Erfolg der Maerzrevolution des Buergertums
00:07:26:08,00:07:30:12,gegen die Herrschaft der Fuerstenhaeuser:
00:07:30:14,00:07:31:19,Am 18. Mai 1848
00:07:31:21,00:07:35:04,trat das erste frei gewaehlte deutsche Parlament zusammen.
00:07:35:07,00:07:38:22,Die Paulskirche als Tagungsort hatte einen schlichten Grund:
00:07:38:24,00:07:42:07,Nirgends sonst in Frankfurt war so viel Platz.
00:07:42:09,00:07:43:18,Nach einem Jahr
00:07:43:20,00:07:47:01,verabschiedete die Versammlung eine Reichsverfassung.
00:07:47:03,00:07:50:00,Bevor die Revolution niedergeschlagen wurde.
00:07:50:02,00:07:52:05,Die Verfassung trat nie in Kraft.
