Timecode In,Timecode Out,Subtitle
00:00:18:19,00:00:22:01,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:02,00:00:25:16,Diese Sendung wurde vom NDR live untertitelt (14.06.2023)
00:00:25:18,00:00:28:14,Heute im Studio: Helge Fuhst und Susanne Daubner.
00:00:29:01,00:00:32:07,"Wir begruessen Sie herzlich, schoen dass Sie dabei sind."
00:00:32:09,00:00:34:05,Auch von mir einen guten Abend.
00:00:34:07,00:00:36:19,"Viele kennen ihn aus Hollywood-Blockbustern,"
00:00:36:20,00:00:38:24,in denen die Welt gerettet wird:
00:00:39:01,00:00:41:03,Den Situation Room im Weissen Haus.
00:00:41:17,00:00:45:20,"In Echt tagt in dem ""Lageraum"" der ""Nationale Sicherheitsrat"" der USA,"
00:00:45:22,00:00:49:23,"unter dem Vorsitz des Praesidenten, bereits seit dem Kalten Krieg."
00:00:50:00,00:00:51:13,Und in Deutschland?
00:00:51:15,00:00:53:04,Kommt so ein Gremium
00:00:53:06,00:00:56:15,in der ersten Nationalen Sicherheitsstrategie nicht vor.
00:00:56:17,00:00:57:23,Es lag wohl auch
00:00:58:00,00:01:01:03,am Machtkampf zwischen Kanzleramt und Aussenministerium.
00:01:01:05,00:01:04:04,Auch sonst ist das Papier noch nicht vollstaendig.
00:01:04:06,00:01:08:00,Dazu gleich Aussenministerin Baerbock bei uns im Interview.
00:01:08:04,00:01:12:00,Zunaechst aber Claudia Buckenmaier ueber einen historischen Schritt:
00:01:12:02,00:01:14:22,Der ersten Nationalen Sicherheitsstrategie
00:01:14:24,00:01:17:03,der Bundesrepublik Deutschland.
00:01:18:03,00:01:19:21,Gruppenbild mit Kanzler.
00:01:20:00,00:01:24:10,Ein solches Ministeraufgebot fuer eine Pressekonferenz hat Seltenheitswert.
00:01:24:14,00:01:26:12,Demonstrative Einigkeit.
00:01:26:16,00:01:30:17,"Alle Verzoegerungen, das Ringen um Formulierungen Ð vergessen."
00:01:30:21,00:01:33:18,Scholz will sich nicht treiben lassen Ð
00:01:33:22,00:01:36:17,jetzt nicht und auch nicht in Zukunft.
00:01:37:17,00:01:40:08,"Wir sind fertig, wenn wir fertig sind."
00:01:40:12,00:01:42:16,Die Ampelkoalition praesentiert
00:01:42:20,00:01:46:03,die erste Nationale Sicherheitsstrategie fuer Deutschland.
00:01:46:05,00:01:49:08,"Sicherheit - neu, anders und umfassender gedacht."
00:01:49:10,00:01:52:01,Das neue Zauberwort: integrierte Sicherheit.
00:01:52:05,00:01:56:03,"Es ist ein grosser Umbruch im Umgang mit Sicherheitsfragen,"
00:01:56:05,00:01:57:18,den wir vollziehen.
00:01:58:06,00:02:03:08,Wir kommen weg von der Konzentration allein auf Verteidigungsfragen.
00:02:03:12,00:02:06:14,Wir haben ein integriertes Sicherheitskonzept.
00:02:06:17,00:02:08:19,Eine 360-Grad-Perspektive.
00:02:09:14,00:02:12:03,"Sicherheit im 21. Jahrhundert bedeutet,"
00:02:12:05,00:02:15:18,in der Apotheke verlaesslich Medikamente zu bekommen.
00:02:15:22,00:02:19:00,"Sicherheit bedeutet, beim Chatten mit Freunden"
00:02:19:02,00:02:22:23,nicht von China ausspioniert oder in sozialen Netzwerken
00:02:23:01,00:02:26:11,nicht von russischen Bots manipuliert zu werden.
