Timecode In,Timecode Out,Subtitle
00:00:04:17,00:00:08:07,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:12,00:00:13:02,Diese Sendung wurde vom NDR live untertitelt (15.06.2023)
00:00:15:05,00:00:17:19,Heute im Studio: Judith Rakers.
00:00:18:02,00:00:21:09,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:21:22,00:00:24:00,Der Bundestag beriet heute
00:00:24:04,00:00:27:14,ueber das umstrittene Heizungsgesetz der Ampelkoalition.
00:00:27:18,00:00:30:16,"Vor zwei Tagen einigten sich SPD, Gruene und FDP"
00:00:30:20,00:00:34:10,auf einen Kompromiss mit zahlreichen ÈAnderungen.
00:00:35:22,00:00:39:07,Dafuer gab es heute Kritik der Opposition.
00:00:39:11,00:00:43:21,Unionfraktionsvize Spahn sprach von einem verkorksten Verfahren.
00:00:44:00,00:00:47:09,Bei den Vorgaben fuer klimafreundlicheres Heizen
00:00:47:14,00:00:49:12,seien noch viele Details offen.
00:00:50:23,00:00:53:10,"Der Wirtschaftsminister brauchte lange,"
00:00:53:14,00:00:57:09,um seinen Gesetzentwurf in den Bundestag zu bringen.
00:00:57:12,00:01:00:01,Jetzt soll es schnell gehen.
00:01:00:03,00:01:03:16,"So schnell, dass dafuer die Tagesordnung geaendert werden muss."
00:01:03:20,00:01:06:18,"Robert Habeck versucht, den Eindruck zu zerstreuen,"
00:01:06:22,00:01:09:09,sein Heizungsgesetz sei verwaessert worden.
00:01:09:13,00:01:11:23,Der Kern des Gesetzes bleibt erhalten:
00:01:12:02,00:01:14:03,"Die Dekarbonisierung der Waerme,"
00:01:14:07,00:01:17:08,nicht mehr immer neue ÈOl- und Gasheizungen einbauen.
00:01:17:12,00:01:20:14,"Die FDP betont Veraenderungen, die sie erreicht hat."
00:01:20:18,00:01:23:17,Vor allem die engere Verzahnung des Heizungsgesetzes
00:01:23:20,00:01:25:22,mit der kommunalen Waermeplanung.
00:01:26:01,00:01:28:10,Erst muss der Staat vorlegen.
00:01:28:14,00:01:31:15,Wie soll es mit meiner Heizung weitergehen?
00:01:32:14,00:01:35:11,Dazu muss die Kommune eine Waermeplanung machen.
00:01:35:15,00:01:38:07,"Dann muss der Buerger frei entscheiden koennen,"
00:01:38:11,00:01:40:06,was er sich einbaut.
00:01:40:10,00:01:42:15,Kritik aus der Opposition:
00:01:42:19,00:01:46:08,"Der Entwurf des Heizungsgesetzes gehoere in die Tonne,"
00:01:46:12,00:01:48:22,das Verfahren sei eine Farce.
00:01:49:01,00:01:52:11,"Fuer die Union ist nicht klar, was die Ampel-Koalition will."
00:01:52:15,00:01:55:11,"Wenn ich naechstes Jahr eine Gasheizung einbaue,"
00:01:55:15,00:01:59:13,"muss ich die dann 2028 ausbauen, wenn eine Waermeplanung da ist?"
00:01:59:17,00:02:01:21,"Sie sagen Ja, Sie sagen Nein."
00:02:02:00,00:02:06:12,Wird es vor Einbau einer Gasheizung eine verpflichtende Beratung geben Ð
00:02:06:16,00:02:10:13,sagen die Gruenen Ð oder ein Beratungsangebot Ð sagt die FDP?
00:02:10:21,00:02:14:02,"Die AfD kritisiert, dass die Koalition"
00:02:14:06,00:02:18:07,"den Gesetzentwurf zwar ergaenzt, aber nicht zurueckgezogen hat."
00:02:19:05,00:02:22:06,Nach ueber zwei Monaten Streit in der Koalition
00:02:22:10,00:02:28:01,bringen Sie Ihren unveraenderten Referentenentwurf aus dem April ein.
00:02:28:16,00:02:33:02,"Sie hatten selber festgestellt, dass er nicht umsetzbar ist."
00:02:34:05,00:02:36:15,"Die Bau-Ministerin wirft der AfD vor,"
00:02:36:19,00:02:40:00,Klimaschutz und das Heizungsgesetz fuer unnoetig zu halten.
00:02:40:02,00:02:44:15,"Sie erinnert daran, dass Deutschland in 22 Jahren klimaneutral sein muss."
00:02:46:00,00:02:49:15,2045 Ð das ist fuer den Gebaeudesektor quasi uebermorgen.
00:02:49:23,00:02:52:22,Fuer einen Austausch der riesigen Heizungsflotte
00:02:53:01,00:02:55:04,ist es eigentlich zu spaet.
00:02:55:13,00:02:56:19,Als naechstes
00:02:56:23,00:03:00:19,geht der Entwurf des Heizungsgesetzes in die zustaendigen Ausschuesse.
00:03:00:23,00:03:03:12,Abgestimmt werden soll Anfang Juli.
00:03:05:13,00:03:10:17,"Die NATO-Verteidigungsminister haben in Bruessel beraten,"
00:03:10:19,00:03:13:12,wie die Ukraine weiter unterstuetzt werden kann.
00:03:13:16,00:03:17:11,"So soll Kiew u.a. zusaetzliche Flugabwehrraketen bekommen,"
00:03:18:06,00:03:21:06,um sich gegen russische Attacken zu verteidigen.
00:03:21:10,00:03:23:14,Zudem ging es um Fortschritte
00:03:23:18,00:03:26:14,bei den Gegenangriffen der ukrainischen Armee.
00:03:26:18,00:03:31:21,Nach Angaben eines hochrangigen Militaers wurden in einer Woche
00:03:31:23,00:03:35:18,ueber 100 Quadratkilometer Gebiet zurueckerobert.
00:03:36:16,00:03:39:20,"Er reagiert nicht. Gib ihm Fentanyl, 50 Milligramm."
00:03:39:24,00:03:42:21,Sie arbeiten unter schwierigsten Bedingungen.
00:03:43:00,00:03:45:03,In diesem Feldlazarett bei Bachmut
00:03:45:07,00:03:48:11,kaempfen die ÈArzte um das Leben verletzter Soldaten.
00:03:48:15,00:03:51:14,"20, 30, gar 100 sind es bei jedem Vorstoss der Armee."
00:03:51:18,00:03:55:02,"Bilder, gedreht von einem daenischen Fernsehteam."
00:03:55:04,00:03:58:11,"Bilder, von denen es wohl noch mehr geben wird,"
00:03:58:15,00:04:02:13,wenn die Ukraine entschlossen gegen russische Truppen vorrueckt.
00:04:03:18,00:04:06:11,Die Ukraine hat eine Gegenoffensive gestartet.
00:04:06:15,00:04:08:14,Wir sehen heftige Kaempfe.
00:04:08:18,00:04:10:03,Es sind die ersten Tage.
00:04:10:08,00:04:12:05,Aber die Ukraine macht Gewinne Ð
00:04:12:07,00:04:15:08,"und ist in der Lage, besetztes Land zu befreien."
00:04:17:11,00:04:19:17,Was genau die Ziele der Ukraine sind:
00:04:19:21,00:04:21:20,"Kein Wort, nur ein Laecheln dazu"
00:04:21:24,00:04:25:05,vom sonst immer gespraechsbereiten Verteidigungsminister.
00:04:25:09,00:04:29:20,Vorstoesse werden von mehreren Abschnitten der Front gemeldet.
00:04:29:22,00:04:34:07,"In der Naehe von Saporischschja, bei Donezk oder Bachmut."
00:04:34:11,00:04:38:07,"Allerdings: Hinter der Front, in den besetzen Gebieten,"
00:04:38:11,00:04:41:17,hat Russland massive Verteidigungslinien aufgebaut.
00:04:41:22,00:04:45:01,"Das ist kein Zuckerschlecken, eine schwierige Aufgabe."
00:04:45:03,00:04:48:04,Wir sehen einzelne Brigaden an verschiedenen Orten.
00:04:48:06,00:04:52:07,Aber noch nicht den Einsatz der grossen neuen Panzerbataillone.
00:04:53:19,00:04:57:02,Bei der NATO erwartet man hohe Verluste auf beiden Seiten.
00:04:57:06,00:05:00:01,"Russland hat in den vergangenen Tagen gemeldet,"
00:05:00:05,00:05:03:06,"Leopard-Panzer zerstoert, bzw. erbeutet zu haben."
00:05:04:01,00:05:06:06,Ich bestaetige keine Verluste.
00:05:06:10,00:05:09:18,Die Russen haben uns diese immer gleichen Fahrzeuge
