Timecode In,Timecode Out,Subtitle
00:00:01:07,00:00:04:15,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:04:17,00:00:08:09,Diese Sendung wurde vom NDR live untertitelt (30.05.2023)
00:00:08:11,00:00:11:15,Heute im Studio: Caren Miosga und Constantin Schreiber.
00:00:12:10,00:00:15:01,"Schoen, dass Sie dabei sind. Guten Abend."
00:00:15:13,00:00:19:23,Wir beginnen mit dem Drohnenangriff auf mehrere Wohnhaeuser -
00:00:20:00,00:00:24:00,in der Ukraine traurige und fast taegliche Realitaet.
00:00:25:06,00:00:29:01,Nur steht dieses getroffene Haus diesmal in Moskau.
00:00:29:16,00:00:32:14,"Jener Stadt, aus der seit ueber fuenfzehn Monaten"
00:00:32:16,00:00:35:12,der Angriffskrieg gegen die Ukraine gefuehrt wird.
00:00:35:14,00:00:37:22,Natuerlich sagt der russische Praesident:
00:00:37:24,00:00:40:20,"Das waren die Ukrainer und spricht von ""Terror"","
00:00:40:22,00:00:43:06,was aus seinem Mund purer Zynismus ist.
00:00:43:08,00:00:45:21,Die ukrainische Regierung weist das zurueck.
00:00:45:23,00:00:48:11,Ob es dennoch Gruppen aus der Ukraine waren
00:00:48:13,00:00:53:08,"oder eine von Russland inszenierte Attacke, ist zur Stunde offen."
00:00:53:16,00:00:57:13,Und womoeglich eine neue gefaehrliche Entwicklung in diesem Krieg.
00:00:57:15,00:00:58:18,Darko Jakovlevic
00:01:01:00,00:01:05:01,"Abwehrgeschosse, um russische Angriffe abzufangen."
00:01:06:22,00:01:11:15,Es ist die dritte Nacht in Folge mit Angriffen der Russen auf Kiew.
00:01:12:21,00:01:16:14,"Immer wieder trifft es Wohnhaeuser, Bilder vom Morgen."
00:01:17:10,00:01:20:15,Herabfallende Truemmer einer russischen Drohne
00:01:20:19,00:01:23:11,toeten mindestens einem Menschen.
00:01:23:22,00:01:26:00,Das Haus hat gewackelt.
00:01:27:10,00:01:28:23,Das ist beaengstigend.
00:01:30:07,00:01:33:18,Die Menschen stehen unter Schock Ð wieder einmal.
00:01:35:20,00:01:39:06,Heute Morgen ging dieses Bild um die Welt.
00:01:42:09,00:01:44:17,Eine Detonation in Moskau.
00:01:46:06,00:01:49:03,Gebaeude in Moskau wurden leicht beschaedigt.
00:01:49:08,00:01:52:24,Acht Drohnen sollen abgeschossen worden sein.
00:01:53:20,00:01:56:24,Es hat sich niemand zu den Angriffen bekannt.
00:01:57:03,00:01:59:22,Russland beschuldigt die Ukraine.
00:02:00:04,00:02:02:20,"Man versucht, Russland zu erschrecken."
00:02:03:17,00:02:06:01,Es gibt Angriffe auf Wohngebaeude.
00:02:06:11,00:02:08:16,Das ist ein Zeichen fuer Terror.
00:02:12:19,00:02:17:18,Dieser Vorwurf ist Thema in dieser Sendung im ukrainischen Fernsehen.
00:02:17:22,00:02:21:05,Eingeladen ist ein Berater von Selenskyj.
00:02:24:07,00:02:27:16,Ist die Ukraine an den Angriffen beteiligt?
00:02:30:01,00:02:32:17,Wir haben etwas mit KI zu tun.
00:02:33:13,00:02:36:17,Aber wir freuen uns ueber die Angriffe.
00:02:36:21,00:02:39:10,Aber wir haben damit nichts zu tun.
00:02:41:01,00:02:43:24,Wer hat die Angriffe durchgefuehrt?
00:02:46:02,00:02:51:00,Bisher gibt es mehrere Drohnen- Angriffe auf russisches Gebiet.
00:02:51:13,00:02:55:16,"Auch welche, zu denen sich die Ukraine bekannt hat."
00:02:57:02,00:02:59:07,"Man kann davon ausgehen,"
00:03:00:19,00:03:04:06,dass es von der Ukraine durchgefuehrt wurde.
00:03:06:02,00:03:09:24,Es lassen sich die Drohnentypen identifizieren.
00:03:10:15,00:03:14:10,Die wurden vermutlich in der Ukraine gestartet.
00:03:14:15,00:03:17:06,Die sind nach Moskau geflogen.
00:03:17:10,00:03:19:15,Sie haben die Reichweite.
00:03:21:00,00:03:24:05,"Wer genau dahintersteckt, ist noch nicht klar."
00:03:31:10,00:03:34:10,Auch in diesem Konflikt spielt Russland eine Rolle.
00:03:34:12,00:03:36:08,Denn auf Moskaus Unterstuetzung
00:03:36:10,00:03:39:21,koennen sich die Serben auch hier im Kosovo immer verlassen.
00:03:39:23,00:03:43:16,"Seit Tagen bricht sich hier Bahn, was seit Jahrzehnten brodelt."
00:03:43:18,00:03:47:24,Der Streit zwischen Kosovo-Albanern und den hier im Land lebenden Serben
00:03:48:01,00:03:50:18,wird immer wieder gewaltsam ausgetragen.
00:03:50:23,00:03:54:08,"Seit sich das Kosovo von Serbien unabhaengig erklaerte,"
00:03:54:10,00:03:56:19,was Belgrad bis heute nicht anerkennt.
00:03:56:21,00:03:58:19,Die Mehrheit der Bevoelkerung
00:03:58:21,00:04:02:13,ist hier albanisch - alle dunkelgruenen Flaechen.
00:04:02:17,00:04:06:03,"Die 120.000 Serben leben in den hellgruenen Gebieten,"
00:04:06:05,00:04:08:15,vor allem im Norden und Osten des Kosovo.
00:04:08:17,00:04:12:03,"Damit alle hier einigermassen friedlich nebeneinander leben,"
00:04:12:05,00:04:15:06,hat die NATO die KFOR-Schutztruppe dort stationiert.
00:04:15:09,00:04:19:01,Aus Sorge vor noch mehr Gewalt werden diese Truppen aufgestockt.
00:04:19:03,00:04:20:04,Nikolaus Neumaier.
00:04:22:24,00:04:24:23,Danijela Igic ist zufrieden.
00:04:25:04,00:04:28:10,Die Serbin besitzt einen Supermarkt in Zvecan.
00:04:28:12,00:04:30:14,Gestern waehrend der Strassenschlacht
00:04:30:16,00:04:33:08,versorgte sie ihre Leute mit Essen und Trinken.
00:04:33:10,00:04:36:11,"Fuer sie ist es ein Erfolg, dass die Serben die neuen"
00:04:36:13,00:04:40:03,albanischen Buergermeister am Betreten der Rathaeuser hinderten.
00:04:40:09,00:04:44:03,Niemals werden wir sie akzeptieren. Es kann einfach nicht sein.
00:04:44:05,00:04:45:20,Da gibt es keine Chance.
00:04:46:19,00:04:50:05,Blerta Dalloshi musste sich gestern in ein Cafe fluechten.
00:04:50:07,00:04:53:12,Sie ist Albanerin und arbeitet fuer einen Fernsehsender.
00:04:54:10,00:04:58:20,"Jedes Mal, wenn wir vorhatten, eine Weile rauszugehen, um zu filmen"
00:04:58:22,00:05:03:05,"oder die Situation zu beobachten, schossen sie auf uns."
00:05:05:12,00:05:10:02,Am Montag kommt es zum heftigsten Gewaltausbruch der vergangenen Jahre.
00:05:10:04,00:05:13:14,Der Streit um die Unabhaengigkeit des Kosovos eskaliert.
00:05:13:16,00:05:17:18,Anlass sind die Kommunalwahlen im serbischen Teil Kosovos.
00:05:18:02,00:05:20:14,"Weil die Serben die Wahlen boykottierten,"
00:05:20:16,00:05:22:13,wurden nur Albaner gewaehlt.
00:05:22:24,00:05:25:07,Die Wahlen spiegeln den Grundkonflikt:
00:05:25:09,00:05:28:14,Serben wollen sich nicht von Albanern regieren lassen.
00:05:28:16,00:05:32:10,"Und die Albaner verweigern ihren serbischen Gemeinden Autonomie,"
00:05:32:12,00:05:34:19,weil sie einen Staat im Staat fuerchten.
00:05:34:21,00:05:37:03,Und so pruegeln jetzt serbische Schlaeger
00:05:37:05,00:05:39:20,auf Soldaten der NATO-Schutztruppe KFOR ein.
00:05:39:22,00:05:41:12,Die schuetzen die Rathaeuser.
00:05:41:14,00:05:44:24,"Steine fliegen, es fallen Schuesse, Brandsaetze explodieren."
00:05:45:01,00:05:48:18,"30 Soldaten und etwa 50 Serben werden verletzt, manche schwer."
00:05:49:00,00:05:51:23,"Die neue Gewalt zerstoert die duenne Gespraechsbasis,"
00:05:52:00,00:05:55:23,die Kosovos Premierminister Kurti und der serbische Praesident Vucic
00:05:56:00,00:05:57:12,zuletzt gefunden hatten.
00:05:57:23,00:06:00:24,Kurti macht die serbische Regierung verantwortlich.
00:06:01:01,00:06:03:24,Vucic versetzt das Militaer in Alarmbereitschaft.
00:06:04:15,00:06:08:00,"Extremisten und Milizen sind nicht ""das Volk""."
00:06:08:02,00:06:12:03,Die serbische Gemeinschaft muss von ihnen befreit werden.
00:06:13:11,00:06:16:21,Mit unserer Armee haben wir viele Orte im Blick.
00:06:16:23,00:06:21:07,Ein Pogrom an der serbischen Bevoelkerung lassen wir nicht zu.
00:06:23:01,00:06:27:14,Am Tag danach empfaengt Vucic in Belgrad Diplomaten zum Krisentreffen.
00:06:27:16,00:06:29:11,"Botschafter von NATO-Staaten,"
00:06:29:13,00:06:32:08,aber auch die Vertreter Chinas und Russlands.
00:06:32:10,00:06:34:24,Russland steht klar auf der Seite Serbiens.
00:06:35:20,00:06:37:19,Die Situation ist alarmierend.
00:06:37:21,00:06:41:21,"Der Westen hat einen Kurs fuer die totale Unterwerfung aller gesetzt,"
00:06:41:22,00:06:43:20,die ihre eigene Meinung aeussern.
00:06:44:08,00:06:46:22,Der Gewaltausbruch alarmiert auch die EU.
00:06:46:24,00:06:49:24,Der Aussenbeauftragte fordert schnellstmoegliche Ruhe.
00:06:50:15,00:06:53:11,Wir haben schon zu viel Gewalt in Europa.
00:06:53:13,00:06:56:11,Wir koennen uns keinen weiteren Konflikt leisten.
00:06:56:22,00:06:59:24,Im Kosovo wird auch Kritik an der Regierung laut.
00:07:00:01,00:07:02:13,Visar Ymeri hat mit ehemaligen Diplomaten
00:07:02:15,00:07:05:18,dem Premierminister einen offenen Brief geschrieben.
00:07:05:20,00:07:08:05,"Sie kritisieren, dass die Buergermeister"
00:07:08:07,00:07:11:20,gegen den Willen der Verbuendeten ins Amt eingesetzt wurden.
00:07:12:13,00:07:16:21,"Internationale Diplomaten haben Kurti den Rat gegeben,"
00:07:16:23,00:07:19:07,diese Massnahmen nicht umzusetzen.
00:07:19:09,00:07:23:02,"Er hat die Massnahmen nicht nur ohne Koordination umgesetzt,"
00:07:23:04,00:07:25:11,sondern sogar gegen deren Rat.
00:07:30:00,00:07:34:12,"In Zvecan blieb es tagsueber ruhig, doch die Lage bleibt fragil."
00:07:34:18,00:07:38:22,Denn auch heute versammelten sich wieder Serben vor Gemeindeaemtern.
00:07:41:02,00:07:43:14,"Kommen wir nach Deutschland und zur Frage,"
00:07:43:16,00:07:45:23,wie es das Land diesmal schaffen soll.
00:07:46:00,00:07:48:23,Die Zahlen sind nicht mit 2015 vergleichbar.
00:07:49:10,00:07:52:17,Dennoch kommen nicht nur hier an der Grenze zu Polen
00:07:52:19,00:07:55:04,so viele Menschen zu uns wie lange nicht.
00:07:55:06,00:07:58:03,2015 lag die Zahl der unerlaubten Einreisen
00:07:58:05,00:08:01:11,ueber die deutsche Landgrenze bei 204.451.
00:08:03:24,00:08:06:22,"In den Jahren danach sank sie stetig,"
00:08:06:24,00:08:10:16,bis 2021 wieder ein Anstieg verzeichnet wurde.
00:08:12:08,00:08:15:16,2022 waren es 76.523 illegale Einreisen
00:08:15:18,00:08:18:16,und 2023 haelt dieser Trend an.
00:08:20:11,00:08:24:15,Viele Kommunen sind ueberfordert mit der Unterbringung der Fluechtlinge.
00:08:24:17,00:08:27:18,"So fordern die Grenzlaender Sachsen und Brandenburg,"
00:08:27:20,00:08:31:24,zur Kontrolle Polizisten fest an den Grenzen zu stationieren.
00:08:32:01,00:08:34:06,"Das muesste die Bundespolizei machen,"
00:08:34:08,00:08:36:23,doch die Innenministerin moechte das nicht.
00:08:37:00,00:08:38:02,Kerstin Breinig.
00:08:39:04,00:08:40:23,Es sind ein paar Schritte -
00:08:41:00,00:08:44:06,"schon ist man auf der anderen Seite der Neisse, in Polen."
00:08:44:08,00:08:46:00,Oder eben in Deutschland.
00:08:46:02,00:08:49:03,Gubener und Gubiner wechseln entspannt die Seiten -
00:08:49:05,00:08:53:05,"zum Arbeiten, Einkaufen, Lernen. Ohne Kontrolle, ohne Stopp."
00:08:53:07,00:08:57:06,"Guben und Gubin sind quasi eine Stadt, mit zwei Buergermeistern."
00:08:57:12,00:09:00:19,Beim Thema Fluechtlinge sind es wieder zwei Staedte:
