Timecode In,Timecode Out,Subtitle
00:00:19:09,00:00:22:18,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:20,00:00:26:09,Diese Sendung wurde vom NDR live untertitelt (19.04.2023)
00:00:26:11,00:00:29:10,Heute im Studio: Aline Abboud und Thorsten Schroeder.
00:00:29:12,00:00:31:24,Guten Abend. Willkommen zu den tagesthemen.
00:00:32:01,00:00:33:15,"Schoen, dass Sie dabei sind."
00:00:33:17,00:00:34:19,Guten Abend.
00:00:34:21,00:00:36:17,"Es gibt eigentlich keine Worte,"
00:00:36:20,00:00:39:14,die man angesichts dieser Verbrechen sagen kann.
00:00:40:08,00:00:44:04,Aus deutscher Sicht kann man am ehesten noch um Vergebung bitten.
00:00:44:06,00:00:46:23,So tat es der Bundespraesident heute in Warschau
00:00:47:00,00:00:50:13,zum 80. Jahrestag des Aufstandes im Warschauer Ghetto.
00:00:50:15,00:00:54:13,Dieses wird von den deutschen Besatzern im November 1940
00:00:54:15,00:00:56:17,durch eine Mauer abgeriegelt.
00:00:57:06,00:01:01:02,Mehr als eine halbe Million Menschen leben auf engstem Raum.
00:01:01:03,00:01:03:04,Zwischen 1940 und 1942
00:01:03:06,00:01:06:13,sterben Hunderttausende an Hunger und Krankheiten.
00:01:07:03,00:01:10:22,Das ist fast ein Viertel der juedischen Bevoelkerung Warschaus.
00:01:11:09,00:01:15:21,"Im Juli 1942 beginnen die Nazis, Menschen ins Vernichtungslager"
00:01:15:23,00:01:19:13,nach Treblinka zu deportieren und dort zu ermorden.
00:01:20:12,00:01:24:16,"Als SS-Truppen am 19. April 1943 ins Ghetto einmarschieren,"
00:01:24:18,00:01:27:11,wagen Juedinnen und Juden den Aufstand.
00:01:29:14,00:01:32:01,Vier Wochen dauert der Widerstand.
00:01:32:03,00:01:35:02,"Es war dieser Geist des Sich-nicht-beugen-Wollens,"
00:01:35:04,00:01:36:18,der allen Kraft gab.
00:01:36:19,00:01:39:04,"Kristin Joachim hat eine Frau begleitet,"
00:01:39:06,00:01:41:16,die das Grauen damals ueberlebt hat.
00:01:43:12,00:01:45:23,Krystina Budnicka kann es kaum glauben:
00:01:46:00,00:01:47:22,Sie steht in einer Ausstellung
00:01:47:24,00:01:50:14,vor einem Foto von sich als Zwoelfjaehrige.
00:01:50:16,00:01:54:11,"Das Bild wurde aufgenommen, nachdem sie die Hoelle erlebt hat:"
00:01:54:13,00:01:56:15,Den Aufstand im Warschauer Ghetto.
00:01:56:16,00:01:59:05,Bei dem verlor sie ihre gesamte Familie.
00:02:01:21,00:02:03:19,"Ich bin sehr ueberrascht,"
