Timecode In,Timecode Out,Subtitle
00:00:04:07,00:00:08:02,Hier ist das Erste Deutsche Fernsehen mit der tagesschau.
00:00:08:04,00:00:12:23,Diese Sendung wurde vom NDR live untertitelt (30.06.2023)
00:00:15:16,00:00:18:08,Heute im Studio: Constantin Schreiber.
00:00:18:15,00:00:21:17,"Guten Abend, ich begruesse Sie zur tagesschau."
00:00:22:16,00:00:25:10,Frankreich wurde die dritte Nacht in Folge
00:00:25:12,00:00:27:17,von schweren Unruhen erschuettert.
00:00:27:19,00:00:30:10,"Zehntausende Polizisten waren im Einsatz,"
00:00:30:12,00:00:33:08,mehr als 870 Menschen wurden festgenommen.
00:00:33:10,00:00:36:22,Zentrum der Ausschreitungen waren Vororte von Paris.
00:00:36:24,00:00:40:17,"Vor allem Nanterre, wo ein 17-Jaehriger am Dienstag"
00:00:40:19,00:00:44:01,bei einer Polizeikontrolle erschossen wurde.
00:00:44:12,00:00:49:09,"Um weiteren Eskalationen vorzubeugen, erliess die franzoesische Regierung"
00:00:49:10,00:00:52:05,Einschraenkungen des oeffentlichen Lebens.
00:00:53:06,00:00:56:13,"Fast 2000 ausgebrannte Autos, zahlreiche Busse:"
00:00:56:15,00:00:59:23,Das Ausmass der Zerstoerung in Frankreich ist immens.
00:01:00:00,00:01:02:21,"Auch kleinere Staedte sind massiv betroffen,"
00:01:02:23,00:01:05:07,wie Montargis im Sueden von Paris.
00:01:05:18,00:01:08:17,Ich verstehe diesen Ausbruch an Hass nicht.
00:01:08:19,00:01:10:05,Ich habe keine Worte.
00:01:10:07,00:01:13:09,"Ich sehe hier alle weinen und Truemmer aufsammeln,"
00:01:13:11,00:01:14:15,es ist schlimm.
00:01:14:17,00:01:17:06,Heute Mittag Krisensitzung der Regierung.
00:01:17:08,00:01:21:02,"Die Ordnung im Land muesse ohne Tabu wiederhergestellt werden,"
00:01:21:04,00:01:22:17,lautet die Botschaft.
00:01:23:00,00:01:26:17,Der Tod eines jungen Mannes wird instrumentalisiert.
00:01:26:19,00:01:29:06,"Wir beklagen alle, was passiert ist."
00:01:29:09,00:01:32:24,Es sollte eine Zeit der Andacht und des Respekts sein.
00:01:33:06,00:01:36:17,"Vergangene Nacht waren 40.000 Polizisten im Einsatz,"
00:01:36:19,00:01:39:02,darunter Anti-Terror-Einheiten.
00:01:39:11,00:01:42:12,Die Protestierenden sind meist junge Maenner.
00:01:43:22,00:01:46:12,Ein Drittel der Verhafteten ist minderjaehrig.
