Timecode In,Timecode Out,Subtitle
00:00:18:20,00:00:22:03,Hier ist das Erste Deutsche Fernsehen mit den tagesthemen.
00:00:22:05,00:00:25:11,Diese Sendung wurde vom NDR live untertitelt (18.05.2023)
00:00:25:14,00:00:28:18,Heute im Studio: Caren Miosga und Thorsten Schroeder.
00:00:28:24,00:00:32:07,"Schoen, dass Sie so spaet noch dabei sind.Guten Abend."
00:00:32:13,00:00:35:03,Nach dem Rauswurf von Habecks Staatssekretaer
00:00:35:05,00:00:38:14,streitet die Regierung ueber das von ihm entworfene Gesetz.
00:00:39:04,00:00:42:07,"Also die Frage, wie wir kuenftig heizen werden."
00:00:42:09,00:00:44:13,Dass die Gelben und die Gruenen
00:00:44:15,00:00:47:24,in der Klimapolitik nicht miteinander warm werden:
00:00:48:01,00:00:52:09,Das ist klar und hat auch den roten Kanzler nicht kalt gelassen.
00:00:52:11,00:00:55:06,"Nur muehsam hatte sich die Ampel geeinigt,"
00:00:55:08,00:00:58:19,das gruene Gesetz zum Austausch von ÈOl- Und Gasheizungen
00:00:58:21,00:01:01:11,bis zur Sommerpause zu verabschieden.
00:01:01:13,00:01:05:20,"Nun scheint die FDP die Schwaeche des Wirtschaftsministers zu nutzen,"
00:01:05:22,00:01:08:07,um dessen Plaene doch noch auszubremsen.
00:01:08:09,00:01:09:22,Frank Jahn.
00:01:11:24,00:01:15:23,"Robert Habecks rechte Hand fuer die Energiewende, Patrick Graichen,"
00:01:16:00,00:01:17:23,musste seinen Stuhl raeumen.
00:01:18:00,00:01:21:21,"Nun gebe es ein Machtvakuum im gruenen Wirtschaftsministerium,"
00:01:21:23,00:01:23:16,sagt die FDP.
00:01:23:18,00:01:25:07,Der Koalitionspartner
00:01:25:09,00:01:29:03,will nicht nur den Zeitplan fuer das Heizungsgesetz aendern.
00:01:29:06,00:01:32:06,An diesem Gesetz muss vieles geaendert werden.
00:01:32:08,00:01:36:21,Es muss zurueck in die Montagehalle und dann neu beraten werden.
00:01:37:14,00:01:42:07,Von 100 offenen Fragen an Habeck spricht der FDP-Generalsekretaer.
00:01:42:19,00:01:46:09,Die FDP zweifelt an der Praxistauglichkeit des Gesetzes
00:01:46:11,00:01:49:18,und haelt die geplante Verabschiedung vor der Sommerpause
00:01:49:20,00:01:51:05,fuer ausgeschlossen.
00:01:51:07,00:01:55:03,Die Gruenen fordern Verlaesslichkeit der Koalitionspartner ein
00:01:55:05,00:01:59:16,"und wollen am Zeitplan festhalten, den die Ampelspitze verabredet habe."
00:01:59:18,00:02:01:00,"Wichtig ist,"
00:02:01:02,00:02:05:04,dass das Gebaeudeenergiegesetz vor dem Sommer beschlossen wird.
00:02:05:06,00:02:10:03,"Dazu haben sich der Kanzler und der Finanzminister verpflichtet,"
00:02:10:05,00:02:12:10,die Zustimmungen sind erteilt.
00:02:12:12,00:02:15:08,Jetzt ist es an den Fraktionen im Bundestag:
00:02:15:10,00:02:19:09,Dass vor der Sommerpause das wichtige Gesetz fuer den Klimaschutz
00:02:19:11,00:02:21:19,rechtzeitig beschlossen wird.
00:02:21:21,00:02:26:04,Laut Gesetzentwurf soll ab 2024 jede neu eingebaute Heizung
00:02:26:06,00:02:29:21,ueberwiegend mit erneuerbaren Energien betrieben werden.
00:02:29:23,00:02:33:17,Ziel ist das Aus fuer fossile Gas- und ÈOlheizungen.
00:02:34:15,00:02:37:17,"Zu viel Verbot, zu wenig Technologieoffenheit,"
00:02:37:19,00:02:39:19,heisst es aus der Opposition.
00:02:39:21,00:02:42:09,Die Union nennt es Eigentumsvernichtung
00:02:42:11,00:02:44:15,und wuerde das Gesetz gern kippen.
00:02:44:17,00:02:48:21,"Ich erwarte von Minister Habeck, dass er auf die Stopptaste drueckt."
00:02:48:23,00:02:53:04,"Dass er nicht mit der Brechstange versucht, ein Gesetz durchzudruecken,"
00:02:53:06,00:02:56:03,was gegen jede wissenschaftliche Berechnung
00:02:56:05,00:03:00:06,und gegen die Beduerfnisse der Buergerinnen und Buerger ist.
00:03:00:16,00:03:03:15,"Trotz Gegenwind moechte auch die Kanzlerpartei,"
00:03:03:17,00:03:06:13,"genau wie die Gruenen, am Zeitplan festhalten."
00:03:06:15,00:03:09:00,Der Wirbel im Wirtschaftsministerium
00:03:09:02,00:03:11:20,soll die Wende beim Heizen nicht ausbremsen.
00:03:11:22,00:03:15:15,"Das geht nur, wenn wir zuegig in das Verfahren eintreten"
00:03:15:17,00:03:17:14,und es zuegig abschliessen.
00:03:17:16,00:03:20:06,Die Entlassung seines Staatssekretaers
00:03:20:08,00:03:23:11,sollte fuer Habeck wohl ein Befreiungsschlag sein.
00:03:23:13,00:03:27:05,Doch sein Ministerium sieht sich zu Erklaerungen veranlasst:
00:03:27:07,00:03:29:19,Zum naechsten Staatssekretaer Udo Philip.
00:03:29:21,00:03:32:15,Es geht um seine Beteiligungen an Start-ups.
00:03:32:17,00:03:35:05,Das Ministerium weist Vorwuerfe zurueck
00:03:35:07,00:03:38:00,und veroeffentlicht dessen Beteiligungen.
00:03:38:02,00:03:40:16,"Philip habe seinen Aktienbesitz angezeigt,"
00:03:40:18,00:03:42:12,obwohl er dies nicht musste.
00:03:42:14,00:03:45:22,ÈUber Foerderungen der Firmen habe er nicht entschieden.
00:03:45:24,00:03:48:21,Personaldebatten und Zwist ums Heizungsgesetz.
00:03:48:24,00:03:50:17,Der Wirtschaftsminister
00:03:50:19,00:03:53:24,kann den ÈArger wohl noch nicht hinter sich lassen.
00:03:54:18,00:03:58:24,"Das ist der Ursprung dessen, was unser Zusammenleben ausmacht:"
00:03:59:01,00:04:03:18,"Die Demokratie, fuer die die Menschen im Jahr 1848 erst gekaempft"
00:04:03:20,00:04:07:20,und dann eine Nationalversammlung gewaehlt haben.
00:04:09:07,00:04:11:03,Vor genau 175 Jahren
00:04:11:05,00:04:15:10,traf man sich zum ersten Mal in der Frankfurter Paulskirche.
00:04:15:13,00:04:19:17,Wie im Kreise dieser Maenner die erste demokratische Verfassung
00:04:19:19,00:04:23:23,"fuer ganz Deutschland entstand, daran wurde heute erinnert."
00:04:24:00,00:04:27:23,"Und daran, dass Demokratie nicht selbstverstaendlich ist,"
00:04:28:00,00:04:30:14,sondern zerbrechlicher als man denkt.
00:04:30:16,00:04:33:15,"ÈUber den Blick zurueck mit den Augen von heute,"
00:04:33:17,00:04:35:10,Alex Jakubowski.
00:04:36:13,00:04:39:00,Schlange stehen fuer eine Zeitreise.
00:04:39:03,00:04:41:16,Eintauchen in die Zeit vor 175 Jahren.
00:04:41:18,00:04:45:11,Per virtueller Realitaet werden die Besucher an der Paulskirche
00:04:45:13,00:04:48:04,Teil der Deutschen Nationalversammlung.
00:04:48:06,00:04:52:18,"So, wie sie stattgefunden haben muss, detailgetreu rekonstruiert."
00:04:53:17,00:04:56:02,Wir haben Protokolle.
00:04:56:04,00:05:01:05,"Um das Rednerpult waren Sekretaere, die alles mitgeschrieben haben."
00:05:02:00,00:05:06:06,"Sodass weitestgehend Wort fuer Wort alles erhalten ist,"
00:05:06:08,00:05:09:23,"was die Redner gesagt haben, auch die Zwischenrufe."
00:05:10:00,00:05:12:15,Zwischenrufe gibt es heute keine.
00:05:12:17,00:05:16:07,Der Bundespraesident ist gekommen und wuerdigt die Verdienste
00:05:16:09,00:05:20:02,der Abgeordneten der ersten Deutschen Nationalversammlung.
00:05:20:04,00:05:24:03,"Er erinnert daran, dass Demokratie nicht selbstverstaendlich ist."
00:05:24:05,00:05:26:17,Die Geschichte unserer Demokratie
00:05:26:19,00:05:29:19,ist keine gradlinige Erfolgsgeschichte.
00:05:30:11,00:05:33:16,Ihre Schattenseiten verdraengen wir nicht.
00:05:33:18,00:05:38:24,Aber wir erinnern uns auch an gute Zeiten und mutige Vorbilder.
00:05:40:24,00:05:44:03,Heute an die Revolutionaere von 1848
00:05:44:05,00:05:48:18,und die Abgeordneten der ersten Deutschen Nationalversammlung.
00:05:49:19,00:05:52:00,Die Versammlung in der Paulskirche
00:05:52:02,00:05:55:13,praege die deutsche Demokratiegeschichte bis heute.
00:05:55:15,00:05:59:00,"Deshalb haben wir allen Grund, das zu feiern."
00:05:59:02,00:06:01:03,Auch als Zeichen
00:06:01:05,00:06:05:10,gegen die Veraechter unserer parlamentarischen Demokratie.
00:06:07:08,00:06:11:02,Der Platz vor der Paulskirche ist festlich geschmueckt.
00:06:11:04,00:06:15:11,Freiheitsbaeume: ein Symbol der Revolution und der Freiheit.
00:06:15:13,00:06:19:02,"Zur Erinnerung an die Nationalversammlung von damals,"
